sequence_index,anomaly_score,max_severity_score,max_severity_level,avg_severity_score,critical_count,high_count,medium_count,low_count,priority
20563,1.0,10,CRITICAL,1.0,1,0,0,0,1
45019,0.9905664920806885,10,CRITICAL,1.0,1,0,0,0,2
14477,0.7419086694717407,10,CRITICAL,1.0,1,0,0,0,3
14476,0.7556675672531128,10,CRITICAL,1.0,1,0,0,0,4
14475,0.7571967840194702,10,CRITICAL,1.0,1,0,0,0,5
14474,0.7875959277153015,10,CRITICAL,1.0,1,0,0,0,6
14473,0.7411353588104248,10,CRITICAL,1.0,1,0,0,0,7
14472,0.9920637607574463,10,CRITICAL,1.0,1,0,0,0,8
14471,0.7269917726516724,10,CRITICAL,1.0,1,0,0,0,9
45020,0.9999971985816956,10,CRITICAL,1.0,1,0,0,0,10
14480,0.7537180185317993,10,CRITICAL,1.0,1,0,0,0,11
45021,0.9313232898712158,10,CRITICAL,1.0,1,0,0,0,12
45022,0.853449821472168,10,CRITICAL,1.0,1,0,0,0,13
45023,0.9970133900642395,10,CRITICAL,1.0,1,0,0,0,14
45024,0.9999140501022339,10,CRITICAL,1.0,1,0,0,0,15
45025,0.757647693157196,10,CRITICAL,1.0,1,0,0,0,16
45026,0.9986153244972229,10,CRITICAL,1.0,1,0,0,0,17
45027,0.9654425978660583,10,CRITICAL,1.0,1,0,0,0,18
14479,0.7366174459457397,10,CRITICAL,1.0,1,0,0,0,19
14478,0.9620703458786011,10,CRITICAL,1.0,1,0,0,0,20
20569,0.999995231628418,10,CRITICAL,1.0,1,0,0,0,21
20566,0.9998027086257935,10,CRITICAL,1.0,1,0,0,0,22
20567,0.9993914365768433,10,CRITICAL,1.0,1,0,0,0,23
45018,0.8012020587921143,10,CRITICAL,1.0,1,0,0,0,24
20564,0.9999395608901978,10,CRITICAL,1.0,1,0,0,0,25
20562,0.9494433999061584,10,CRITICAL,1.0,1,0,0,0,26
20561,0.995198667049408,10,CRITICAL,1.0,1,0,0,0,27
20560,0.9999999403953552,10,CRITICAL,1.0,1,0,0,0,28
20568,0.9966108798980713,10,CRITICAL,1.0,1,0,0,0,29
20565,0.9614524841308594,10,CRITICAL,1.0,1,0,0,0,30
28259,0.9643139839172363,8,HIGH,0.8,0,1,0,0,31
28260,0.9999644160270691,8,HIGH,0.8,0,1,0,0,32
28261,0.9968173503875732,8,HIGH,0.8,0,1,0,0,33
28262,0.999977707862854,8,HIGH,0.8,0,1,0,0,34
45693,0.8806917071342468,8,HIGH,1.0,0,1,0,2,35
45692,0.886404275894165,8,HIGH,1.1,0,1,0,3,36
45694,0.9025770425796509,8,HIGH,0.9,0,1,0,1,37
45695,0.9998695850372314,8,HIGH,1.0,0,1,0,2,38
45696,0.7073225975036621,8,HIGH,1.0,0,1,0,2,39
45697,0.7278659343719482,8,HIGH,1.0,0,1,0,2,40
45698,0.8300491571426392,8,HIGH,1.0,0,1,0,2,41
45699,0.8534643650054932,8,HIGH,1.0,0,1,0,2,42
28257,0.9826666116714478,8,HIGH,0.8,0,1,0,0,43
28258,0.9999974966049194,8,HIGH,0.8,0,1,0,0,44
28253,0.9993332028388977,8,HIGH,0.8,0,1,0,0,45
28256,0.9984102249145508,8,HIGH,0.8,0,1,0,0,46
45926,0.8441550731658936,8,HIGH,0.8,0,1,0,0,47
7,0.7001246809959412,8,HIGH,1.8,0,1,2,0,48
8,0.7288301587104797,8,HIGH,1.8,0,1,2,0,49
9,0.6494510173797607,8,HIGH,1.3,0,1,1,0,50
10,0.6937509179115295,8,HIGH,1.3,0,1,1,0,51
11,0.7280260324478149,8,HIGH,1.8,0,1,2,0,52
12,0.7625417709350586,8,HIGH,1.8,0,1,2,0,53
13,0.7632784247398376,8,HIGH,1.3,0,1,1,0,54
14,0.7537097930908203,8,HIGH,1.3,0,1,1,0,55
28255,0.9961357712745667,8,HIGH,0.8,0,1,0,0,56
15,0.7705867886543274,8,HIGH,1.3,0,1,1,0,57
16,0.7521638870239258,8,HIGH,1.3,0,1,1,0,58
45691,0.9591496586799622,8,HIGH,1.1,0,1,0,3,59
45925,0.9907900094985962,8,HIGH,0.8,0,1,0,0,60
45924,0.7381315231323242,8,HIGH,0.8,0,1,0,0,61
28254,0.901928186416626,8,HIGH,0.8,0,1,0,0,62
45923,0.7741751074790955,8,HIGH,0.8,0,1,0,0,63
45690,0.9968670010566711,8,HIGH,1.0,0,1,0,2,64
45917,0.7932581901550293,8,HIGH,0.8,0,1,0,0,65
45918,0.7425154447555542,8,HIGH,0.8,0,1,0,0,66
45919,0.9952366352081299,8,HIGH,0.8,0,1,0,0,67
45920,0.9640076160430908,8,HIGH,0.8,0,1,0,0,68
45921,0.769055962562561,8,HIGH,0.8,0,1,0,0,69
45922,0.9549575448036194,8,HIGH,0.8,0,1,0,0,70
551,0.7912482619285583,5,MEDIUM,0.5,0,0,1,0,71
550,0.9999431371688843,5,MEDIUM,0.5,0,0,1,0,72
1,0.9999933838844299,5,MEDIUM,0.5,0,0,1,0,73
549,0.7525706887245178,5,MEDIUM,0.5,0,0,1,0,74
548,0.7559922337532043,5,MEDIUM,0.5,0,0,1,0,75
547,0.9556132555007935,5,MEDIUM,0.5,0,0,1,0,76
546,0.7308381795883179,5,MEDIUM,0.5,0,0,1,0,77
545,0.8073524236679077,5,MEDIUM,0.5,0,0,1,0,78
544,0.7956758141517639,5,MEDIUM,0.5,0,0,1,0,79
