sequence_index,anomaly_score,max_severity_score,max_severity_level,avg_severity_score,critical_count,high_count,medium_count,low_count,priority,risk_score,risk_level,log_count,log_levels,sample_messages
87372,1.4441868707835983,1,LOW,0.13333333333333333,0,0,0,2,8,30.383737415671966,LOW,15,"DEBUG, TRACE, INFO","==>  Preparing: select a.schm_nm , a.tbl_nm , a.tbl_desc , a.col_nm , a.col_desc , a.data_type_desc , case a.identity_type when 'S' then 'Serial' when 'A' then 'Always' when 'D' then 'by Default' else '' end as identity , a.domn_cd , a.domn_nm , a.null_yn , a.default_val from stdm.fn_row_tms_tbl_spec() a where nullif(?,'') is null or a.domn_cd = upper(?) order by a.schm_nm , a.tbl_nm , a.col_seq | doFilterInternal :::: null // null | binding parameter [2] as [VARCHAR] - [N]"
87368,1.2354779628889425,1,LOW,0.2,0,0,0,3,9,26.20955925777885,LOW,15,"DEBUG, TRACE, INFO","==> Parameters: 1(String), null, (String) | 🛰️ Accept-Language: en | SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@2075881d] was not registered for synchronization because synchronization is not active"
87284,1.1268199602114188,1,LOW,0.13333333333333333,0,0,0,2,18,24.036399204228378,LOW,15,"INFO, DEBUG, TRACE","==> Parameters: 1(String), null, (String) | Creating a new SqlSession | binding parameter [2] as [VARCHAR] - [N]"
87283,1.1268199602114188,1,LOW,0.13333333333333333,0,0,0,2,19,24.036399204228378,LOW,15,"INFO, DEBUG, TRACE","==>  Preparing: SELECT * FROM STDM.FN_ROW_STD_WORD_REG_RQSTDOC_CHCK(?, ?, ?) | ==> Parameters: 1(String), null, (String) | Creating a new SqlSession"
87282,1.208457751723375,1,LOW,0.13333333333333333,0,0,0,2,20,25.6691550344675,LOW,15,"INFO, DEBUG, TRACE","Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@69871155] | ==>  Preparing: SELECT * FROM STDM.FN_ROW_STD_WORD_REG_RQSTDOC_CHCK(?, ?, ?) | ==> Parameters: 1(String), null, (String)"
87281,1.208457751723375,1,LOW,0.13333333333333333,0,0,0,2,21,25.6691550344675,LOW,15,"DEBUG, TRACE, INFO","doFilterInternal :::: null // null | Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@69871155] | ==>  Preparing: SELECT * FROM STDM.FN_ROW_STD_WORD_REG_RQSTDOC_CHCK(?, ?, ?)"
87280,1.290095543235331,1,LOW,0.13333333333333333,0,0,0,2,22,27.30191086470662,LOW,15,"DEBUG, TRACE, INFO",Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@5271f453] | doFilterInternal :::: null // null | Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@69871155]
87279,1.290095543235331,1,LOW,0.13333333333333333,0,0,0,2,23,27.30191086470662,LOW,15,"DEBUG, TRACE, INFO","==> Parameters: jhong(String), jhong(String), jhong(String) | Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@5271f453] | doFilterInternal :::: null // null"
87371,1.4441868707835983,1,LOW,0.13333333333333333,0,0,0,2,24,30.383737415671966,LOW,15,"INFO, DEBUG, TRACE","binding parameter [2] as [VARCHAR] - [N] | ==>  Preparing: select a.schm_nm , a.tbl_nm , a.tbl_desc , a.col_nm , a.col_desc , a.data_type_desc , case a.identity_type when 'S' then 'Serial' when 'A' then 'Always' when 'D' then 'by Default' else '' end as identity , a.domn_cd , a.domn_nm , a.null_yn , a.default_val from stdm.fn_row_tms_tbl_spec() a where nullif(?,'') is null or a.domn_cd = upper(?) order by a.schm_nm , a.tbl_nm , a.col_seq | doFilterInternal :::: null // null"
87376,1.6770706051275155,1,LOW,0.13333333333333333,0,0,0,2,25,35.04141210255031,LOW,15,"INFO, DEBUG, TRACE",Committing JDBC Connection [HikariProxyConnection@1596248346 wrapping org.postgresql.jdbc.PgConnection@10fd0f0] | <==      Total: 150 | binding parameter [1] as [TIMESTAMP] - [2025-07-04T15:22:47.905516945]
87373,1.4441868707835983,1,LOW,0.13333333333333333,0,0,0,2,26,30.383737415671966,LOW,15,"DEBUG, TRACE, INFO",doFilterInternal :::: null // null | binding parameter [2] as [VARCHAR] - [N] | ==>  Preparing: SELECT * FROM STDM.FN_ROW_STD_TRM_REG_RQSTDOC_CHCK(?)
87374,1.6770706051275155,1,LOW,0.06666666666666667,0,0,0,1,27,35.04141210255031,LOW,15,"INFO, DEBUG, TRACE",binding parameter [2] as [VARCHAR] - [N] | ==>  Preparing: SELECT * FROM STDM.FN_ROW_STD_TRM_REG_RQSTDOC_CHCK(?) | Committing JDBC Connection [HikariProxyConnection@1596248346 wrapping org.postgresql.jdbc.PgConnection@10fd0f0]
87412,1.1177503022547166,1,LOW,0.13333333333333333,0,0,0,2,28,23.85500604509433,LOW,15,"DEBUG, TRACE, INFO","==> Parameters: jhong(String), jhong(String), jhong(String) | JDBC Connection [HikariProxyConnection@305330267 wrapping org.postgresql.jdbc.PgConnection@691e1a28] will not be managed by Spring | <==      Total: 0"
87410,1.190587042983455,1,LOW,0.2,0,0,0,3,29,25.3117408596691,LOW,15,"DEBUG, TRACE, INFO","JDBC Connection [HikariProxyConnection@1170347080 wrapping org.postgresql.jdbc.PgConnection@691e1a28] will not be managed by Spring | 🛰️ Accept-Language: en | ==> Parameters: jhong(String), jhong(String), jhong(String)"
87409,1.190587042983455,1,LOW,0.13333333333333333,0,0,0,2,30,25.3117408596691,LOW,15,"DEBUG, TRACE, INFO",SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@60c9feb3] was not registered for synchronization because synchronization is not active | JDBC Connection [HikariProxyConnection@1170347080 wrapping org.postgresql.jdbc.PgConnection@691e1a28] will not be managed by Spring | 🛰️ Accept-Language: en
87408,1.190587042983455,1,LOW,0.13333333333333333,0,0,0,2,31,25.3117408596691,LOW,15,"DEBUG, TRACE, INFO",<==      Total: 0 | SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@60c9feb3] was not registered for synchronization because synchronization is not active | JDBC Connection [HikariProxyConnection@1170347080 wrapping org.postgresql.jdbc.PgConnection@691e1a28] will not be managed by Spring
87407,1.593595175212404,1,LOW,0.13333333333333333,0,0,0,2,32,33.37190350424808,LOW,15,"DEBUG, TRACE, INFO",JDBC Connection [HikariProxyConnection@1340959511 wrapping org.postgresql.jdbc.PgConnection@691e1a28] will not be managed by Spring | <==      Total: 0 | SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@60c9feb3] was not registered for synchronization because synchronization is not active
87406,1.593595175212404,1,LOW,0.13333333333333333,0,0,0,2,33,33.37190350424808,LOW,15,"DEBUG, TRACE, INFO",Committing JDBC Connection [HikariProxyConnection@918935773 wrapping org.postgresql.jdbc.PgConnection@5ac40ed] | JDBC Connection [HikariProxyConnection@1340959511 wrapping org.postgresql.jdbc.PgConnection@691e1a28] will not be managed by Spring | <==      Total: 0
87405,1.593595175212404,1,LOW,0.13333333333333333,0,0,0,2,34,33.37190350424808,LOW,15,"INFO, DEBUG, TRACE",extracted value ([col_1_0_] : [VARCHAR]) - [2025/07/5cf6c707-8384-47e7-a11f-3b2121bb0d31.txt] | Committing JDBC Connection [HikariProxyConnection@918935773 wrapping org.postgresql.jdbc.PgConnection@5ac40ed] | JDBC Connection [HikariProxyConnection@1340959511 wrapping org.postgresql.jdbc.PgConnection@691e1a28] will not be managed by Spring
87404,1.593595175212404,1,LOW,0.13333333333333333,0,0,0,2,35,33.37190350424808,LOW,15,"INFO, DEBUG, TRACE",extracted value ([col_0_0_] : [BIGINT]) - [331833871475261440] | extracted value ([col_1_0_] : [VARCHAR]) - [2025/07/5cf6c707-8384-47e7-a11f-3b2121bb0d31.txt] | Committing JDBC Connection [HikariProxyConnection@918935773 wrapping org.postgresql.jdbc.PgConnection@5ac40ed]
87403,1.593595175212404,1,LOW,0.13333333333333333,0,0,0,2,36,33.37190350424808,LOW,15,"INFO, DEBUG, TRACE",extracted value ([col_0_0_] : [BIGINT]) - [331833901179322368] | extracted value ([col_0_0_] : [BIGINT]) - [331833871475261440] | extracted value ([col_1_0_] : [VARCHAR]) - [2025/07/5cf6c707-8384-47e7-a11f-3b2121bb0d31.txt]
87402,1.593595175212404,1,LOW,0.13333333333333333,0,0,0,2,37,33.37190350424808,LOW,15,"INFO, DEBUG, TRACE",extracted value ([col_1_0_] : [VARCHAR]) - [2025/07/04cc5123-380e-4cca-8923-4b71dae3a224.txt] | extracted value ([col_0_0_] : [BIGINT]) - [331833901179322368] | extracted value ([col_0_0_] : [BIGINT]) - [331833871475261440]
87401,1.190587042983455,1,LOW,0.13333333333333333,0,0,0,2,38,25.3117408596691,LOW,15,"INFO, DEBUG, TRACE",extracted value ([col_1_0_] : [VARCHAR]) - [2025/07/07336c0f-7830-4f9d-bfd5-71627c623d93.txt] | extracted value ([col_1_0_] : [VARCHAR]) - [2025/07/04cc5123-380e-4cca-8923-4b71dae3a224.txt] | extracted value ([col_0_0_] : [BIGINT]) - [331833901179322368]
87400,1.190587042983455,1,LOW,0.06666666666666667,0,0,0,1,39,25.3117408596691,LOW,15,"INFO, DEBUG, TRACE",binding parameter [2] as [VARCHAR] - [N] | extracted value ([col_1_0_] : [VARCHAR]) - [2025/07/07336c0f-7830-4f9d-bfd5-71627c623d93.txt] | extracted value ([col_1_0_] : [VARCHAR]) - [2025/07/04cc5123-380e-4cca-8923-4b71dae3a224.txt]
87399,1.190587042983455,1,LOW,0.06666666666666667,0,0,0,1,40,25.3117408596691,LOW,15,"INFO, DEBUG, TRACE",binding parameter [2] as [VARCHAR] - [N] | binding parameter [2] as [VARCHAR] - [N] | extracted value ([col_1_0_] : [VARCHAR]) - [2025/07/07336c0f-7830-4f9d-bfd5-71627c623d93.txt]
87276,1.2900955432353307,1,LOW,0.13333333333333333,0,0,0,2,41,27.301910864706613,LOW,15,"DEBUG, TRACE, INFO",Creating a new SqlSession | Committing JDBC Connection [HikariProxyConnection@939828588 wrapping org.postgresql.jdbc.PgConnection@31fb58e6] | Committing JDBC Connection [HikariProxyConnection@346849165 wrapping org.postgresql.jdbc.PgConnection@20076568]
87375,1.6770706051275155,1,LOW,0.13333333333333333,0,0,0,2,42,35.04141210255031,LOW,15,"INFO, DEBUG, TRACE",==>  Preparing: SELECT * FROM STDM.FN_ROW_STD_TRM_REG_RQSTDOC_CHCK(?) | Committing JDBC Connection [HikariProxyConnection@1596248346 wrapping org.postgresql.jdbc.PgConnection@10fd0f0] | <==      Total: 150
87278,1.290095543235331,1,LOW,0.13333333333333333,0,0,0,2,43,27.30191086470662,LOW,15,"DEBUG, TRACE, INFO","Committing JDBC Connection [HikariProxyConnection@346849165 wrapping org.postgresql.jdbc.PgConnection@20076568] | ==> Parameters: jhong(String), jhong(String), jhong(String) | Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@5271f453]"
87275,1.2900955432353307,1,LOW,0.06666666666666667,0,0,0,1,44,27.301910864706613,LOW,15,"DEBUG, TRACE, INFO","==>  Preparing: SELECT * FROM STDM.FN_ROW_STD_WORD_REG_RQSTDOC_CHCK(?, ?, ?) | Creating a new SqlSession | Committing JDBC Connection [HikariProxyConnection@939828588 wrapping org.postgresql.jdbc.PgConnection@31fb58e6]"
91294,1.1268199602114188,1,LOW,0.3333333333333333,0,0,0,5,45,24.036399204228378,LOW,15,"INFO, DEBUG, TRACE",Creating a new SqlSession | binding parameter [1] as [TIMESTAMP] - [2025-07-07T12:20:02.556467885] | doFilterInternal :::: null // null
68131,1.2512048328489989,1,LOW,0.06666666666666667,0,0,0,1,47,26.524096656979978,LOW,15,"INFO, DEBUG, TRACE",extracted value ([col_1_0_] : [VARCHAR]) - [2025/06/f4d7b89a-c298-43c3-bf6c-cb11a838e91b.jpg] | extracted value ([col_1_0_] : [VARCHAR]) - [2025/06/6e506c86-7ec7-47c5-ace5-e6558b7373d2.jpg] | extracted value ([col_0_0_] : [BIGINT]) - [327843085343674368]
87253,1.1801304514930424,1,LOW,0.13333333333333333,0,0,0,2,56,25.102609029860847,LOW,15,"INFO, DEBUG, TRACE",binding parameter [2] as [VARCHAR] - [N] | The total number of all instances in the client now is 7 | doFilterInternal :::: null // null
87022,1.6770706051275155,1,LOW,0.06666666666666667,0,0,0,1,62,35.04141210255031,LOW,15,"INFO, DEBUG, TRACE",JDBC Connection [HikariProxyConnection@1307472710 wrapping org.postgresql.jdbc.PgConnection@4c394c04] will not be managed by Spring | DiscoveryClient_SMETA/develop-server:smeta:9009 - Heartbeat status: 200 | Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@3c0dc60e]
87021,1.6770706051275155,1,LOW,0.13333333333333333,0,0,0,2,63,35.04141210255031,LOW,15,"DEBUG, TRACE, INFO",🛰️ Accept-Language: en | JDBC Connection [HikariProxyConnection@1307472710 wrapping org.postgresql.jdbc.PgConnection@4c394c04] will not be managed by Spring | DiscoveryClient_SMETA/develop-server:smeta:9009 - Heartbeat status: 200
68132,1.1401756884671743,1,LOW,0.06666666666666667,0,0,0,1,65,24.303513769343486,LOW,15,"INFO, DEBUG, TRACE",extracted value ([col_1_0_] : [VARCHAR]) - [2025/06/6e506c86-7ec7-47c5-ace5-e6558b7373d2.jpg] | extracted value ([col_0_0_] : [BIGINT]) - [327843085343674368] | 
87254,1.1801304514930424,1,LOW,0.13333333333333333,0,0,0,2,66,25.102609029860847,LOW,15,"DEBUG, INFO",The total number of all instances in the client now is 7 | doFilterInternal :::: null // null | JDBC Connection [HikariProxyConnection@433782143 wrapping org.postgresql.jdbc.PgConnection@31fb58e6] will not be managed by Spring
87274,1.2900955432353307,1,LOW,0.06666666666666667,0,0,0,1,67,27.301910864706613,LOW,15,"DEBUG, TRACE, INFO","Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@363fad6c] | ==>  Preparing: SELECT * FROM STDM.FN_ROW_STD_WORD_REG_RQSTDOC_CHCK(?, ?, ?) | Creating a new SqlSession"
87273,1.5124071162432104,1,LOW,0.06666666666666667,0,0,0,1,69,31.748142324864208,LOW,15,"DEBUG, TRACE, INFO","==> Parameters: jhong(String), jhong(String), jhong(String) | Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@363fad6c] | ==>  Preparing: SELECT * FROM STDM.FN_ROW_STD_WORD_REG_RQSTDOC_CHCK(?, ?, ?)"
87272,1.5124071162432104,1,LOW,0.06666666666666667,0,0,0,1,70,31.748142324864208,LOW,15,"DEBUG, TRACE, INFO","<==      Total: 0 | ==> Parameters: jhong(String), jhong(String), jhong(String) | Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@363fad6c]"
87271,1.5124071162432104,1,LOW,0.06666666666666667,0,0,0,1,71,31.748142324864208,LOW,15,"DEBUG, INFO","==>  Preparing: select count(case when std_data_prcs_stts_cd = '1' then 1 else null end) as CNT1 -- 요청 , count(case when std_data_prcs_stts_cd = '2' and prcr_id = ? then 'x' else null end) as CNT2 -- 검토 , count(case when std_data_prcs_stts_cd = '3' and prcr_id = ? then 'x' else null end) as CNT3 -- 반려 , count(case when std_data_prcs_stts_cd = '4' and prcr_id = ? then 'x' else null end) as CNT4 -- 승인 , count(case when std_data_prcs_stts_cd = '5' then 'x' else null end) as CNT5 -- 완료 from stdm.tms_std_word_reg_rqstdoc_m | <==      Total: 0 | ==> Parameters: jhong(String), jhong(String), jhong(String)"
87270,1.5124071162432104,1,LOW,0.06666666666666667,0,0,0,1,72,31.748142324864208,LOW,15,"INFO, DEBUG, TRACE","binding parameter [2] as [VARCHAR] - [N] | ==>  Preparing: select count(case when std_data_prcs_stts_cd = '1' then 1 else null end) as CNT1 -- 요청 , count(case when std_data_prcs_stts_cd = '2' and prcr_id = ? then 'x' else null end) as CNT2 -- 검토 , count(case when std_data_prcs_stts_cd = '3' and prcr_id = ? then 'x' else null end) as CNT3 -- 반려 , count(case when std_data_prcs_stts_cd = '4' and prcr_id = ? then 'x' else null end) as CNT4 -- 승인 , count(case when std_data_prcs_stts_cd = '5' then 'x' else null end) as CNT5 -- 완료 from stdm.tms_std_word_reg_rqstdoc_m | <==      Total: 0"
87269,1.071043335018982,1,LOW,0.06666666666666667,0,0,0,1,73,22.92086670037964,LOW,15,"INFO, DEBUG, TRACE"," | binding parameter [2] as [VARCHAR] - [N] | ==>  Preparing: select count(case when std_data_prcs_stts_cd = '1' then 1 else null end) as CNT1 -- 요청 , count(case when std_data_prcs_stts_cd = '2' and prcr_id = ? then 'x' else null end) as CNT2 -- 검토 , count(case when std_data_prcs_stts_cd = '3' and prcr_id = ? then 'x' else null end) as CNT3 -- 반려 , count(case when std_data_prcs_stts_cd = '4' and prcr_id = ? then 'x' else null end) as CNT4 -- 승인 , count(case when std_data_prcs_stts_cd = '5' then 'x' else null end) as CNT5 -- 완료 from stdm.tms_std_word_reg_rqstdoc_m"
87268,1.071043335018982,1,LOW,0.06666666666666667,0,0,0,1,74,22.92086670037964,LOW,15,"INFO, DEBUG, TRACE","==>  Preparing: select count(case when std_data_prcs_stts_cd = '1' then 1 else null end) as CNT1 -- 요청 , count(case when std_data_prcs_stts_cd = '2' and prcr_id = ? then 'x' else null end) as CNT2 -- 검토 , count(case when std_data_prcs_stts_cd = '3' and prcr_id = ? then 'x' else null end) as CNT3 -- 반려 , count(case when std_data_prcs_stts_cd = '4' and prcr_id = ? then 'x' else null end) as CNT4 -- 승인 , count(case when std_data_prcs_stts_cd = '5' then 'x' else null end) as CNT5 -- 완료 from stdm.tms_std_word_reg_rqstdoc_m |  | binding parameter [2] as [VARCHAR] - [N]"
87267,1.071043335018982,1,LOW,0.06666666666666667,0,0,0,1,75,22.92086670037964,LOW,15,"INFO, DEBUG, TRACE","Creating a new SqlSession | ==>  Preparing: select count(case when std_data_prcs_stts_cd = '1' then 1 else null end) as CNT1 -- 요청 , count(case when std_data_prcs_stts_cd = '2' and prcr_id = ? then 'x' else null end) as CNT2 -- 검토 , count(case when std_data_prcs_stts_cd = '3' and prcr_id = ? then 'x' else null end) as CNT3 -- 반려 , count(case when std_data_prcs_stts_cd = '4' and prcr_id = ? then 'x' else null end) as CNT4 -- 승인 , count(case when std_data_prcs_stts_cd = '5' then 'x' else null end) as CNT5 -- 완료 from stdm.tms_std_word_reg_rqstdoc_m | "
87255,1.1801304514930424,1,LOW,0.13333333333333333,0,0,0,2,78,25.102609029860847,LOW,15,"DEBUG, INFO",doFilterInternal :::: null // null | JDBC Connection [HikariProxyConnection@433782143 wrapping org.postgresql.jdbc.PgConnection@31fb58e6] will not be managed by Spring | doFilterInternal :::: null // null
68136,1.2034768521287622,1,LOW,0.06666666666666667,0,0,0,1,81,25.569537042575245,LOW,15,"INFO, DEBUG, TRACE",binding parameter [1] as [TIMESTAMP] - [2025-06-23T15:13:25.037936795] | extracted value ([col_0_0_] : [BIGINT]) - [327843100283785216] | binding parameter [2] as [VARCHAR] - [N]
68135,1.0291465440853498,1,LOW,0.06666666666666667,0,0,0,1,82,22.082930881706996,LOW,15,"INFO, DEBUG, TRACE",extracted value ([col_1_0_] : [VARCHAR]) - [2025/06/c07ec019-bc3c-42fc-a956-1b25a082f7ac.jpg] | binding parameter [1] as [TIMESTAMP] - [2025-06-23T15:13:25.037936795] | extracted value ([col_0_0_] : [BIGINT]) - [327843100283785216]
68134,1.0291465440853498,1,LOW,0.06666666666666667,0,0,0,1,83,22.082930881706996,LOW,15,"INFO, DEBUG, TRACE", | extracted value ([col_1_0_] : [VARCHAR]) - [2025/06/c07ec019-bc3c-42fc-a956-1b25a082f7ac.jpg] | binding parameter [1] as [TIMESTAMP] - [2025-06-23T15:13:25.037936795]
68133,1.0291465440853498,1,LOW,0.06666666666666667,0,0,0,1,84,22.082930881706996,LOW,15,"INFO, DEBUG, TRACE",extracted value ([col_0_0_] : [BIGINT]) - [327843085343674368] |  | extracted value ([col_1_0_] : [VARCHAR]) - [2025/06/c07ec019-bc3c-42fc-a956-1b25a082f7ac.jpg]
87257,1.1801304514930424,1,LOW,0.06666666666666667,0,0,0,1,85,25.102609029860847,LOW,15,"DEBUG, TRACE, INFO",doFilterInternal :::: null // null | <==      Total: 1 | SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@2f648953] was not registered for synchronization because synchronization is not active
87256,1.1801304514930424,1,LOW,0.06666666666666667,0,0,0,1,86,25.102609029860847,LOW,15,"DEBUG, TRACE, INFO",JDBC Connection [HikariProxyConnection@433782143 wrapping org.postgresql.jdbc.PgConnection@31fb58e6] will not be managed by Spring | doFilterInternal :::: null // null | <==      Total: 1
87413,1.1177503022547166,1,LOW,0.13333333333333333,0,0,0,2,87,23.85500604509433,LOW,15,"DEBUG, TRACE, INFO",JDBC Connection [HikariProxyConnection@305330267 wrapping org.postgresql.jdbc.PgConnection@691e1a28] will not be managed by Spring | <==      Total: 0 | 🛰️ Accept-Language: en
87453,1.0413384109819168,1,LOW,0.06666666666666667,0,0,0,1,88,22.326768219638335,LOW,15,"INFO, DEBUG, TRACE","extracted value ([col_0_0_] : [BIGINT]) - [331834788694048768] | extracted value ([col_1_0_] : [VARCHAR]) - [2025/07/e5642924-4014-4ae9-b61b-6660b164f8d4.txt] | Completed cache refresh task for discovery. All Apps hash code is Local region apps hashcode: UP_7_, is fetching remote regions? false"
87454,1.020014031402801,1,LOW,0.06666666666666667,0,0,0,1,89,21.90028062805602,LOW,15,"INFO, DEBUG, TRACE","extracted value ([col_1_0_] : [VARCHAR]) - [2025/07/e5642924-4014-4ae9-b61b-6660b164f8d4.txt] | Completed cache refresh task for discovery. All Apps hash code is Local region apps hashcode: UP_7_, is fetching remote regions? false | extracted value ([col_1_0_] : [VARCHAR]) - [2025/07/5cf6c707-8384-47e7-a11f-3b2121bb0d31.txt]"
90949,1.2711971984591794,1,LOW,0.06666666666666667,0,0,0,1,90,26.92394396918359,LOW,15,"INFO, DEBUG, TRACE",SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@1ddccf33] was not registered for synchronization because synchronization is not active | JDBC Connection [HikariProxyConnection@1107186121 wrapping org.postgresql.jdbc.PgConnection@51aab464] will not be managed by Spring | binding parameter [1] as [TIMESTAMP] - [2025-07-07T09:53:25.352666482]
90956,1.2711971984591794,1,LOW,0.06666666666666667,0,0,0,1,93,26.92394396918359,LOW,15,"DEBUG, TRACE, INFO","==> Parameters: 4(String), null, (String) | Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@2bb9190] | The total number of instances fetched by the delta processor : 0"
