sequence_index,anomaly_score,max_severity_score,max_severity_level,avg_severity_score,critical_count,high_count,medium_count,low_count,priority,sample_messages,risk_score,risk_level,log_count,log_levels
28957,1.0604154867797706,1,LOW,0.2,0,0,0,3,7,"extracted value ([group_cd2_1_] : [VARCHAR]) - [SYS_CD] | binding parameter [1] as [VARCHAR] - [MENU_TYPE_CD] | [channel=0x3086d48a, /192.168.0.54:54904 -> 192.168.0.54/192.168.0.54:6379, epid=0x1, chid=0x1] Received: 4 bytes, 1 commands in the stack",16.90623230169656,INFO,15,"TRACE, DEBUG"
28958,1.1736779053253945,1,LOW,0.26666666666666666,0,0,0,4,8,"binding parameter [1] as [VARCHAR] - [MENU_TYPE_CD] | [channel=0x3086d48a, /192.168.0.54:54904 -> 192.168.0.54/192.168.0.54:6379, epid=0x1, chid=0x1] Received: 4 bytes, 1 commands in the stack | extracted value ([col_4_0_] : [BIGINT]) - [3]",18.605168579880917,INFO,15,"TRACE, DEBUG"
28797,1.0426101287901257,1,LOW,0.2,0,0,0,3,16,Converted value on extraction: 320 -> kr.re.bbp.code.CodeValue@c826 | Converted value on extraction: 307 -> kr.re.bbp.code.CodeValue@c7ef | Converted value on extraction: 305 -> kr.re.bbp.code.CodeValue@c7ed,16.639151931851885,INFO,15,"TRACE, DEBUG"
28796,1.1558725473357496,1,LOW,0.2,0,0,0,3,17,Converted value on extraction: 318 -> kr.re.bbp.code.CodeValue@c80f | Converted value on extraction: 320 -> kr.re.bbp.code.CodeValue@c826 | Converted value on extraction: 307 -> kr.re.bbp.code.CodeValue@c7ef,18.338088210036243,INFO,15,"TRACE, DEBUG"
28970,1.1736779053253945,1,LOW,0.3333333333333333,0,0,0,5,26,Converted value on extraction: 316 -> kr.re.bbp.code.CodeValue@c80d | Converted value on extraction: 310 -> kr.re.bbp.code.CodeValue@c807 | Converted value on extraction: 308 -> kr.re.bbp.code.CodeValue@c7f0,18.605168579880917,INFO,15,"TRACE, DEBUG"
28971,1.0604154867797706,1,LOW,0.3333333333333333,0,0,0,5,27,Converted value on extraction: 310 -> kr.re.bbp.code.CodeValue@c807 | Converted value on extraction: 308 -> kr.re.bbp.code.CodeValue@c7f0 | Converted value on extraction: 309 -> kr.re.bbp.code.CodeValue@c7f1,16.90623230169656,INFO,15,"TRACE, DEBUG"
86922,1.1681024703100749,1,LOW,0.13333333333333333,0,0,0,2,28,==>  Preparing: -- 표준 단어사전 결함 SELECT * FROM STDM.FN_ROW_STD_WORD_CHCK() WHERE SYNM_CHCK IS NOT NULL OR DOMN_CHCK IS NOT NULL | ==> Parameters: | Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@343d8001],18.521537054651123,INFO,15,"TRACE, DEBUG, INFO"
86907,1.2617682430049986,1,LOW,0.06666666666666667,0,0,0,1,34,doFilterInternal :::: null // null | SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@d270096] was not registered for synchronization because synchronization is not active | ==> Parameters:,19.92652364507498,INFO,15,"TRACE, DEBUG, INFO"
86906,1.2617682430049986,1,LOW,0.13333333333333333,0,0,0,2,35,doFilterInternal :::: null // null | doFilterInternal :::: null // null | SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@d270096] was not registered for synchronization because synchronization is not active,19.92652364507498,INFO,15,"TRACE, DEBUG, INFO"
86901,1.066542061150141,1,LOW,0.2,0,0,0,3,36,Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@3f959389] | Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@ba3b63f] | ,16.998130917252116,INFO,15,"DEBUG, INFO"
