sequence_index,anomaly_score,max_severity_score,max_severity_level,avg_severity_score,critical_count,high_count,medium_count,low_count,priority,sample_messages,risk_score,risk_level
28794,1.382397384426997,1,LOW,0.26666666666666666,0,0,0,4,20,Converted value on extraction: 305 -> kr.re.bbp.code.CodeValue@c7ed | Converted value on extraction: 302 -> kr.re.bbp.code.CodeValue@c7ea | Converted value on extraction: 318 -> kr.re.bbp.code.CodeValue@c80f,21.735960766404954,LOW
28961,1.5134651609622658,1,LOW,0.4,0,0,0,6,21,extracted value ([col_0_0_] : [VARCHAR]) - [UP_EDU_SUPPORT] | Converted value on extraction: 301 -> kr.re.bbp.code.CodeValue@c7e9 | Converted value on extraction: 314 -> kr.re.bbp.code.CodeValue@c80b,23.701977414433987,LOW
457,2.724382412180263,1,LOW,0.06666666666666667,0,0,0,1,22,binding parameter [1] as [TIMESTAMP] - [2025-02-28T08:45:57.544885091] | binding parameter [1] as [TIMESTAMP] - [2025-02-28T08:47:22.579088724] | binding parameter [1] as [TIMESTAMP] - [2025-02-28T08:48:47.614102935],41.86573618270395,MEDIUM
28792,1.6089222215182446,1,LOW,0.26666666666666666,0,0,0,4,23,Converted value on extraction: 309 -> kr.re.bbp.code.CodeValue@c7f1 | Converted value on extraction: 307 -> kr.re.bbp.code.CodeValue@c7ef | Converted value on extraction: 305 -> kr.re.bbp.code.CodeValue@c7ed,25.13383332277367,LOW
28968,1.4002027424166419,1,LOW,0.3333333333333333,0,0,0,5,24,Converted value on extraction: 304 -> kr.re.bbp.code.CodeValue@c7ec | Converted value on extraction: 306 -> kr.re.bbp.code.CodeValue@c7ee | Converted value on extraction: 316 -> kr.re.bbp.code.CodeValue@c80d,22.003041136249628,LOW
28969,1.2869403238710182,1,LOW,0.3333333333333333,0,0,0,5,25,Converted value on extraction: 306 -> kr.re.bbp.code.CodeValue@c7ee | Converted value on extraction: 316 -> kr.re.bbp.code.CodeValue@c80d | Converted value on extraction: 310 -> kr.re.bbp.code.CodeValue@c807,20.304104858065273,LOW
28970,1.1736779053253945,1,LOW,0.3333333333333333,0,0,0,5,26,Converted value on extraction: 316 -> kr.re.bbp.code.CodeValue@c80d | Converted value on extraction: 310 -> kr.re.bbp.code.CodeValue@c807 | Converted value on extraction: 308 -> kr.re.bbp.code.CodeValue@c7f0,18.605168579880917,INFO
28971,1.0604154867797706,1,LOW,0.3333333333333333,0,0,0,5,27,Converted value on extraction: 310 -> kr.re.bbp.code.CodeValue@c807 | Converted value on extraction: 308 -> kr.re.bbp.code.CodeValue@c7f0 | Converted value on extraction: 309 -> kr.re.bbp.code.CodeValue@c7f1,16.90623230169656,INFO
86922,1.1681024703100749,1,LOW,0.13333333333333333,0,0,0,2,28,==>  Preparing: -- 표준 단어사전 결함 SELECT * FROM STDM.FN_ROW_STD_WORD_CHCK() WHERE SYNM_CHCK IS NOT NULL OR DOMN_CHCK IS NOT NULL | ==> Parameters: | Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@343d8001],18.521537054651123,INFO
86915,1.2696890941745536,1,LOW,0.13333333333333333,0,0,0,2,29,"SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@805800b] was not registered for synchronization because synchronization is not active | SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@2aefd8cb] was not registered for synchronization because synchronization is not active | ==> Parameters: 1(String), null, (String)",20.045336412618305,LOW
86914,1.2696890941745536,1,LOW,0.13333333333333333,0,0,0,2,30,Committing JDBC Connection [HikariProxyConnection@2071324061 wrapping org.postgresql.jdbc.PgConnection@43f0b44a] | SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@805800b] was not registered for synchronization because synchronization is not active | SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@2aefd8cb] was not registered for synchronization because synchronization is not active,20.045336412618305,LOW
86913,1.2696890941745536,1,LOW,0.06666666666666667,0,0,0,1,31,Creating a new SqlSession | Committing JDBC Connection [HikariProxyConnection@2071324061 wrapping org.postgresql.jdbc.PgConnection@43f0b44a] | SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@805800b] was not registered for synchronization because synchronization is not active,20.045336412618305,LOW
