sequence_index,anomaly_score,max_severity_score,max_severity_level,avg_severity_score,critical_count,high_count,medium_count,low_count,priority,sample_messages,risk_score,risk_level,log_count,log_levels
87377,1.6770706051275155,8,HIGH,0.6666666666666666,0,1,0,2,1,<==      Total: 150 | binding parameter [1] as [TIMESTAMP] - [2025-07-04T15:22:47.905516945] | ==> Parameters: 1(String),33.15605907691273,LOW,15,"TRACE, INFO, ERROR, DEBUG"
87378,1.6770706051275155,8,HIGH,0.6666666666666666,0,1,0,2,2,binding parameter [1] as [TIMESTAMP] - [2025-07-04T15:22:47.905516945] | ==> Parameters: 1(String) | <==      Total: 0,33.15605907691273,LOW,15,"TRACE, INFO, ERROR, DEBUG"
87379,1.6770706051275155,8,HIGH,0.6666666666666666,0,1,0,2,3,==> Parameters: 1(String) | <==      Total: 0 | 🛰️ Accept-Language: en,33.15605907691273,LOW,15,"INFO, ERROR, DEBUG"
87380,1.2489973439001743,8,HIGH,0.6666666666666666,0,1,0,2,4,<==      Total: 0 | 🛰️ Accept-Language: en | ==> Parameters: 1(String),26.734960158502613,LOW,15,"INFO, ERROR, DEBUG"
87381,1.2489973439001743,8,HIGH,0.6666666666666666,0,1,0,2,5,🛰️ Accept-Language: en | ==> Parameters: 1(String) | The total number of all instances in the client now is 7,26.734960158502613,LOW,15,"INFO, ERROR, DEBUG"
87382,1.2489973439001743,8,HIGH,0.6,0,1,0,1,6,==> Parameters: 1(String) | The total number of all instances in the client now is 7 | Got delta update with apps hashcode UP_7_,26.734960158502613,LOW,15,"TRACE, INFO, ERROR, DEBUG"
87372,1.4441868707835983,1,LOW,0.13333333333333333,0,0,0,2,8,"==>  Preparing: select a.schm_nm , a.tbl_nm , a.tbl_desc , a.col_nm , a.col_desc , a.data_type_desc , case a.identity_type when 'S' then 'Serial' when 'A' then 'Always' when 'D' then 'by Default' else '' end as identity , a.domn_cd , a.domn_nm , a.null_yn , a.default_val from stdm.fn_row_tms_tbl_spec() a where nullif(?,'') is null or a.domn_cd = upper(?) order by a.schm_nm , a.tbl_nm , a.col_seq | doFilterInternal :::: null // null | binding parameter [2] as [VARCHAR] - [N]",22.662803061753976,LOW,15,"TRACE, INFO, DEBUG"
87280,1.290095543235331,1,LOW,0.13333333333333333,0,0,0,2,22,Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@5271f453] | doFilterInternal :::: null // null | Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@69871155],20.351433148529964,LOW,15,"TRACE, INFO, DEBUG"
87279,1.290095543235331,1,LOW,0.13333333333333333,0,0,0,2,23,"==> Parameters: jhong(String), jhong(String), jhong(String) | Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@5271f453] | doFilterInternal :::: null // null",20.351433148529964,LOW,15,"TRACE, INFO, DEBUG"
87371,1.4441868707835983,1,LOW,0.13333333333333333,0,0,0,2,24,"binding parameter [2] as [VARCHAR] - [N] | ==>  Preparing: select a.schm_nm , a.tbl_nm , a.tbl_desc , a.col_nm , a.col_desc , a.data_type_desc , case a.identity_type when 'S' then 'Serial' when 'A' then 'Always' when 'D' then 'by Default' else '' end as identity , a.domn_cd , a.domn_nm , a.null_yn , a.default_val from stdm.fn_row_tms_tbl_spec() a where nullif(?,'') is null or a.domn_cd = upper(?) order by a.schm_nm , a.tbl_nm , a.col_seq | doFilterInternal :::: null // null",22.662803061753976,LOW,15,"TRACE, INFO, DEBUG"
87376,1.6770706051275155,1,LOW,0.13333333333333333,0,0,0,2,25,Committing JDBC Connection [HikariProxyConnection@1596248346 wrapping org.postgresql.jdbc.PgConnection@10fd0f0] | <==      Total: 150 | binding parameter [1] as [TIMESTAMP] - [2025-07-04T15:22:47.905516945],26.156059076912733,LOW,15,"TRACE, INFO, DEBUG"
87373,1.4441868707835983,1,LOW,0.13333333333333333,0,0,0,2,26,doFilterInternal :::: null // null | binding parameter [2] as [VARCHAR] - [N] | ==>  Preparing: SELECT * FROM STDM.FN_ROW_STD_TRM_REG_RQSTDOC_CHCK(?),22.662803061753976,LOW,15,"TRACE, INFO, DEBUG"
87374,1.6770706051275155,1,LOW,0.06666666666666667,0,0,0,1,27,binding parameter [2] as [VARCHAR] - [N] | ==>  Preparing: SELECT * FROM STDM.FN_ROW_STD_TRM_REG_RQSTDOC_CHCK(?) | Committing JDBC Connection [HikariProxyConnection@1596248346 wrapping org.postgresql.jdbc.PgConnection@10fd0f0],26.156059076912733,LOW,15,"TRACE, INFO, DEBUG"
87407,1.593595175212404,1,LOW,0.13333333333333333,0,0,0,2,32,JDBC Connection [HikariProxyConnection@1340959511 wrapping org.postgresql.jdbc.PgConnection@691e1a28] will not be managed by Spring | <==      Total: 0 | SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@60c9feb3] was not registered for synchronization because synchronization is not active,24.90392762818606,LOW,15,"TRACE, INFO, DEBUG"
87406,1.593595175212404,1,LOW,0.13333333333333333,0,0,0,2,33,Committing JDBC Connection [HikariProxyConnection@918935773 wrapping org.postgresql.jdbc.PgConnection@5ac40ed] | JDBC Connection [HikariProxyConnection@1340959511 wrapping org.postgresql.jdbc.PgConnection@691e1a28] will not be managed by Spring | <==      Total: 0,24.90392762818606,LOW,15,"TRACE, INFO, DEBUG"
