sequence_index,anomaly_score,max_severity_score,max_severity_level,avg_severity_score,critical_count,high_count,medium_count,low_count,priority,sample_messages,risk_score,risk_level
87377,1.6770706051275155,8,HIGH,0.6666666666666666,0,1,0,2,1,<==      Total: 150 | binding parameter [1] as [TIMESTAMP] - [2025-07-04T15:22:47.905516945] | ==> Parameters: 1(String),33.15605907691273,LOW
87378,1.6770706051275155,8,HIGH,0.6666666666666666,0,1,0,2,2,binding parameter [1] as [TIMESTAMP] - [2025-07-04T15:22:47.905516945] | ==> Parameters: 1(String) | <==      Total: 0,33.15605907691273,LOW
87379,1.6770706051275155,8,HIGH,0.6666666666666666,0,1,0,2,3,==> Parameters: 1(String) | <==      Total: 0 | 🛰️ Accept-Language: en,33.15605907691273,LOW
87380,1.2489973439001743,8,HIGH,0.6666666666666666,0,1,0,2,4,<==      Total: 0 | 🛰️ Accept-Language: en | ==> Parameters: 1(String),26.734960158502613,LOW
87381,1.2489973439001743,8,HIGH,0.6666666666666666,0,1,0,2,5,🛰️ Accept-Language: en | ==> Parameters: 1(String) | The total number of all instances in the client now is 7,26.734960158502613,LOW
87382,1.2489973439001743,8,HIGH,0.6,0,1,0,1,6,==> Parameters: 1(String) | The total number of all instances in the client now is 7 | Got delta update with apps hashcode UP_7_,26.734960158502613,LOW
457,2.724382412180263,1,LOW,0.06666666666666667,0,0,0,1,7,binding parameter [1] as [TIMESTAMP] - [2025-02-28T08:45:57.544885091] | binding parameter [1] as [TIMESTAMP] - [2025-02-28T08:47:22.579088724] | binding parameter [1] as [TIMESTAMP] - [2025-02-28T08:48:47.614102935],41.86573618270395,MEDIUM
87372,1.4441868707835983,1,LOW,0.13333333333333333,0,0,0,2,8,"==>  Preparing: select a.schm_nm , a.tbl_nm , a.tbl_desc , a.col_nm , a.col_desc , a.data_type_desc , case a.identity_type when 'S' then 'Serial' when 'A' then 'Always' when 'D' then 'by Default' else '' end as identity , a.domn_cd , a.domn_nm , a.null_yn , a.default_val from stdm.fn_row_tms_tbl_spec() a where nullif(?,'') is null or a.domn_cd = upper(?) order by a.schm_nm , a.tbl_nm , a.col_seq | doFilterInternal :::: null // null | binding parameter [2] as [VARCHAR] - [N]",22.662803061753976,LOW
87368,1.2354779628889425,1,LOW,0.2,0,0,0,3,9,"==> Parameters: 1(String), null, (String) | 🛰️ Accept-Language: en | SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@2075881d] was not registered for synchronization because synchronization is not active",19.532169443334137,INFO
87360,1.0538078170167502,1,LOW,0.13333333333333333,0,0,0,2,10,"==> Parameters: 1(String), null, (String) | ==> Parameters: | [channel=0x723e3117, /192.168.0.54:38456 -> 192.168.0.54/192.168.0.54:6379, epid=0x1, chid=0x1] write(ctx, AsyncCommand [type=SET, output=StatusOutput [output=null, error='null'], commandType=io.lettuce.core.protocol.Command], promise)",70.22846902100501,HIGH
87359,1.0538078170167502,1,LOW,0.13333333333333333,0,0,0,2,11,"dispatching command AsyncCommand [type=GET, output=ValueOutput [output=null, error='null'], commandType=io.lettuce.core.protocol.Command] | ==> Parameters: 1(String), null, (String) | ==> Parameters:",70.22846902100501,HIGH
87358,1.0538078170167502,1,LOW,0.06666666666666667,0,0,0,1,12,"[channel=0x723e3117, /192.168.0.54:38456 -> 192.168.0.54/192.168.0.54:6379] writing command AsyncCommand [type=GET, output=ValueOutput [output=null, error='null'], commandType=io.lettuce.core.protocol.Command] | dispatching command AsyncCommand [type=GET, output=ValueOutput [output=null, error='null'], commandType=io.lettuce.core.protocol.Command] | ==> Parameters: 1(String), null, (String)",70.22846902100501,HIGH
87357,1.0538078170167502,1,LOW,0.06666666666666667,0,0,0,1,13,"[channel=0x723e3117, /192.168.0.54:38456 -> 192.168.0.54/192.168.0.54:6379, epid=0x1] write() writeAndFlush command AsyncCommand [type=GET, output=ValueOutput [output=null, error='null'], commandType=io.lettuce.core.protocol.Command] | [channel=0x723e3117, /192.168.0.54:38456 -> 192.168.0.54/192.168.0.54:6379] writing command AsyncCommand [type=GET, output=ValueOutput [output=null, error='null'], commandType=io.lettuce.core.protocol.Command] | dispatching command AsyncCommand [type=GET, output=ValueOutput [output=null, error='null'], commandType=io.lettuce.core.protocol.Command]",70.22846902100501,HIGH
87356,1.0538078170167502,1,LOW,0.06666666666666667,0,0,0,1,14,"[channel=0x723e3117, /192.168.0.54:38456 -> 192.168.0.54/192.168.0.54:6379, epid=0x1, chid=0x1] Completing command AsyncCommand [type=GET, output=ValueOutput [output=[B@659a6844, error='null'], commandType=io.lettuce.core.protocol.Command] | [channel=0x723e3117, /192.168.0.54:38456 -> 192.168.0.54/192.168.0.54:6379, epid=0x1] write() writeAndFlush command AsyncCommand [type=GET, output=ValueOutput [output=null, error='null'], commandType=io.lettuce.core.protocol.Command] | [channel=0x723e3117, /192.168.0.54:38456 -> 192.168.0.54/192.168.0.54:6379] writing command AsyncCommand [type=GET, output=ValueOutput [output=null, error='null'], commandType=io.lettuce.core.protocol.Command]",70.22846902100501,HIGH
87355,1.0538078170167502,1,LOW,0.06666666666666667,0,0,0,1,15,"DiscoveryClient_SMETA/develop-server:smeta:9009 - Heartbeat status: 200 | [channel=0x723e3117, /192.168.0.54:38456 -> 192.168.0.54/192.168.0.54:6379, epid=0x1, chid=0x1] Completing command AsyncCommand [type=GET, output=ValueOutput [output=[B@659a6844, error='null'], commandType=io.lettuce.core.protocol.Command] | [channel=0x723e3117, /192.168.0.54:38456 -> 192.168.0.54/192.168.0.54:6379, epid=0x1] write() writeAndFlush command AsyncCommand [type=GET, output=ValueOutput [output=null, error='null'], commandType=io.lettuce.core.protocol.Command]",70.22846902100501,HIGH
68142,1.1401756884671739,1,LOW,0.06666666666666667,0,0,0,1,16,extracted value ([col_1_0_] : [VARCHAR]) - [2025/06/f4d7b89a-c298-43c3-bf6c-cb11a838e91b.jpg] | extracted value ([col_1_0_] : [VARCHAR]) - [2025/06/6e506c86-7ec7-47c5-ace5-e6558b7373d2.jpg] | extracted value ([col_0_0_] : [BIGINT]) - [327843085343674368],18.102635327007608,INFO
87285,1.1268199602114188,1,LOW,0.13333333333333333,0,0,0,2,17,Creating a new SqlSession | binding parameter [2] as [VARCHAR] - [N] | Creating a new SqlSession,17.902299403171284,INFO
87284,1.1268199602114188,1,LOW,0.13333333333333333,0,0,0,2,18,"==> Parameters: 1(String), null, (String) | Creating a new SqlSession | binding parameter [2] as [VARCHAR] - [N]",17.902299403171284,INFO
87283,1.1268199602114188,1,LOW,0.13333333333333333,0,0,0,2,19,"==>  Preparing: SELECT * FROM STDM.FN_ROW_STD_WORD_REG_RQSTDOC_CHCK(?, ?, ?) | ==> Parameters: 1(String), null, (String) | Creating a new SqlSession",17.902299403171284,INFO
87282,1.208457751723375,1,LOW,0.13333333333333333,0,0,0,2,20,"Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@69871155] | ==>  Preparing: SELECT * FROM STDM.FN_ROW_STD_WORD_REG_RQSTDOC_CHCK(?, ?, ?) | ==> Parameters: 1(String), null, (String)",19.126866275850624,INFO
87281,1.208457751723375,1,LOW,0.13333333333333333,0,0,0,2,21,"doFilterInternal :::: null // null | Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@69871155] | ==>  Preparing: SELECT * FROM STDM.FN_ROW_STD_WORD_REG_RQSTDOC_CHCK(?, ?, ?)",19.126866275850624,INFO
87280,1.290095543235331,1,LOW,0.13333333333333333,0,0,0,2,22,Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@5271f453] | doFilterInternal :::: null // null | Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@69871155],20.351433148529964,LOW
87279,1.290095543235331,1,LOW,0.13333333333333333,0,0,0,2,23,"==> Parameters: jhong(String), jhong(String), jhong(String) | Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@5271f453] | doFilterInternal :::: null // null",20.351433148529964,LOW
87371,1.4441868707835983,1,LOW,0.13333333333333333,0,0,0,2,24,"binding parameter [2] as [VARCHAR] - [N] | ==>  Preparing: select a.schm_nm , a.tbl_nm , a.tbl_desc , a.col_nm , a.col_desc , a.data_type_desc , case a.identity_type when 'S' then 'Serial' when 'A' then 'Always' when 'D' then 'by Default' else '' end as identity , a.domn_cd , a.domn_nm , a.null_yn , a.default_val from stdm.fn_row_tms_tbl_spec() a where nullif(?,'') is null or a.domn_cd = upper(?) order by a.schm_nm , a.tbl_nm , a.col_seq | doFilterInternal :::: null // null",22.662803061753976,LOW
