모델,정확도,정밀도,재현율,F1 점수,ROC-AUC,특이도,TP,TN,FP,FN
DEEPLOG,0.0702,0.0702,0.9993,0.1311,0.6269,0.0000,1403,0,18596,1
LOGANOMALY,0.8980,0.0607,0.0313,0.0413,0.4973,0.9634,44,17915,681,1360
