sequence_index,anomaly_score,max_severity_score,max_severity_level,avg_severity_score,critical_count,high_count,medium_count,low_count,priority
18148,0.8156567811965942,1,LOW,0.2,0,0,0,2,97
18149,0.8349445462226868,1,LOW,0.2,0,0,0,2,98
18150,0.8645584583282471,1,LOW,0.2,0,0,0,2,99
18151,0.8710965514183044,1,LOW,0.2,0,0,0,2,100
18152,0.8587069511413574,1,LOW,0.1,0,0,0,1,101
18153,0.8335877656936646,1,LOW,0.1,0,0,0,1,102
18154,0.7553080916404724,1,LOW,0.1,0,0,0,1,103
18185,0.9996902942657471,1,LOW,0.1,0,0,0,1,104
18186,0.969535231590271,1,LOW,0.1,0,0,0,1,105
18187,0.9988701939582825,1,LOW,0.1,0,0,0,1,106
18188,0.9772276282310486,1,LOW,0.1,0,0,0,1,107
18189,0.8956711292266846,1,LOW,0.1,0,0,0,1,108
18190,0.9994694590568542,1,LOW,0.1,0,0,0,1,109
18191,0.9937311410903931,1,LOW,0.1,0,0,0,1,110
18192,0.9993467330932617,1,LOW,0.1,0,0,0,1,111
18193,0.9994239211082458,1,LOW,0.1,0,0,0,1,112
18194,0.992046058177948,1,LOW,0.1,0,0,0,1,113
18200,0.9853324890136719,1,LOW,0.1,0,0,0,1,114
1987,0.7542800307273865,1,LOW,0.1,0,0,0,1,115
18125,0.8009015321731567,1,LOW,0.2,0,0,0,2,116
18123,0.8112282752990723,1,LOW,0.2,0,0,0,2,117
18012,0.9987584352493286,1,LOW,0.1,0,0,0,1,118
18122,0.8211596012115479,1,LOW,0.2,0,0,0,2,119
18013,0.8823619484901428,1,LOW,0.1,0,0,0,1,120
18014,0.9835993051528931,1,LOW,0.1,0,0,0,1,121
18015,0.9914701581001282,1,LOW,0.1,0,0,0,1,122
18016,0.9900767207145691,1,LOW,0.2,0,0,0,2,123
18017,0.922584056854248,1,LOW,0.3,0,0,0,3,124
18018,0.9284293055534363,1,LOW,0.3,0,0,0,3,125
8631,0.9992883801460266,1,LOW,0.1,0,0,0,1,126
18020,0.9289841651916504,1,LOW,0.2,0,0,0,2,127
18021,0.9847381114959717,1,LOW,0.2,0,0,0,2,128
18022,0.7780943512916565,1,LOW,0.2,0,0,0,2,129
18023,0.9792153239250183,1,LOW,0.2,0,0,0,2,130
18024,0.985145628452301,1,LOW,0.2,0,0,0,2,131
18025,0.8889702558517456,1,LOW,0.2,0,0,0,2,132
18026,0.9920669794082642,1,LOW,0.1,0,0,0,1,133
18027,0.9998061060905457,1,LOW,0.1,0,0,0,1,134
18028,0.9575631618499756,1,LOW,0.1,0,0,0,1,135
18029,0.8997889161109924,1,LOW,0.1,0,0,0,1,136
18030,0.9993276596069336,1,LOW,0.1,0,0,0,1,137
18031,0.9284698963165283,1,LOW,0.1,0,0,0,1,138
18032,0.8646508455276489,1,LOW,0.1,0,0,0,1,139
18033,0.8870303630828857,1,LOW,0.1,0,0,0,1,140
18034,0.8618301749229431,1,LOW,0.1,0,0,0,1,141
18035,0.9863075613975525,1,LOW,0.1,0,0,0,1,142
18036,0.8393083810806274,1,LOW,0.1,0,0,0,1,143
18117,0.8675895929336548,1,LOW,0.1,0,0,0,1,144
18118,0.7698648571968079,1,LOW,0.1,0,0,0,1,145
18119,0.9964019060134888,1,LOW,0.1,0,0,0,1,146
18120,0.8972733020782471,1,LOW,0.2,0,0,0,2,147
18121,0.9951738715171814,1,LOW,0.2,0,0,0,2,148
8632,0.9999520778656006,1,LOW,0.1,0,0,0,1,149
17906,0.8992619514465332,1,LOW,0.1,0,0,0,1,150
8630,0.9974601864814758,1,LOW,0.1,0,0,0,1,151
2948,0.9651223421096802,1,LOW,0.1,0,0,0,1,152
17305,0.9936818480491638,1,LOW,0.1,0,0,0,1,153
17304,0.9989390969276428,1,LOW,0.1,0,0,0,1,154
17303,0.9886910319328308,1,LOW,0.1,0,0,0,1,155
2945,0.7350623607635498,1,LOW,0.1,0,0,0,1,156
2946,0.7204864025115967,1,LOW,0.1,0,0,0,1,157
2947,0.7767038345336914,1,LOW,0.1,0,0,0,1,158
2949,0.9570857286453247,1,LOW,0.1,0,0,0,1,159
17307,0.9749743938446045,1,LOW,0.1,0,0,0,1,160
2950,0.9619286060333252,1,LOW,0.1,0,0,0,1,161
2951,0.9822620153427124,1,LOW,0.1,0,0,0,1,162
2952,0.7761633396148682,1,LOW,0.1,0,0,0,1,163
2953,0.7597090005874634,1,LOW,0.1,0,0,0,1,164
2954,0.7587313652038574,1,LOW,0.1,0,0,0,1,165
17239,0.745650053024292,1,LOW,0.1,0,0,0,1,166
17306,0.9736930727958679,1,LOW,0.1,0,0,0,1,167
17308,0.9753798842430115,1,LOW,0.1,0,0,0,1,168
17666,0.9699475169181824,1,LOW,0.1,0,0,0,1,169
17483,0.9456635117530823,1,LOW,0.1,0,0,0,1,170
17489,0.966535210609436,1,LOW,0.1,0,0,0,1,171
17488,0.9962723255157471,1,LOW,0.1,0,0,0,1,172
17487,0.9870328307151794,1,LOW,0.1,0,0,0,1,173
17486,0.9995509386062622,1,LOW,0.1,0,0,0,1,174
17485,0.9885454773902893,1,LOW,0.1,0,0,0,1,175
17484,0.9972701668739319,1,LOW,0.1,0,0,0,1,176
17482,0.9881907105445862,1,LOW,0.1,0,0,0,1,177
17309,0.9974265098571777,1,LOW,0.1,0,0,0,1,178
17481,0.9801363348960876,1,LOW,0.1,0,0,0,1,179
17480,0.9996335506439209,1,LOW,0.1,0,0,0,1,180
14717,0.9681445360183716,1,LOW,0.1,0,0,0,1,181
17312,0.9655196666717529,1,LOW,0.1,0,0,0,1,182
17311,0.9852669835090637,1,LOW,0.1,0,0,0,1,183
17310,0.9833279252052307,1,LOW,0.1,0,0,0,1,184
17238,0.734856367111206,1,LOW,0.1,0,0,0,1,185
17237,0.7560781836509705,1,LOW,0.1,0,0,0,1,186
17236,0.7543806433677673,1,LOW,0.1,0,0,0,1,187
3044,0.7519239187240601,1,LOW,0.1,0,0,0,1,188
3038,0.7519180178642273,1,LOW,0.1,0,0,0,1,189
3039,0.7390031814575195,1,LOW,0.1,0,0,0,1,190
3040,0.7452760934829712,1,LOW,0.1,0,0,0,1,191
3041,0.9529829621315002,1,LOW,0.1,0,0,0,1,192
3042,0.9539017677307129,1,LOW,0.1,0,0,0,1,193
3043,0.9526515007019043,1,LOW,0.1,0,0,0,1,194
3045,0.9542945027351379,1,LOW,0.1,0,0,0,1,195
17235,0.964496910572052,1,LOW,0.1,0,0,0,1,196
7950,0.9739709496498108,1,LOW,0.1,0,0,0,1,197
7949,0.9994640350341797,1,LOW,0.1,0,0,0,1,198
7948,0.9998236298561096,1,LOW,0.1,0,0,0,1,199
7947,0.9988332390785217,1,LOW,0.1,0,0,0,1,200
7946,0.9999037384986877,1,LOW,0.1,0,0,0,1,201
7945,0.9931793212890625,1,LOW,0.1,0,0,0,1,202
3037,0.7622203826904297,1,LOW,0.1,0,0,0,1,203
3036,0.7313060760498047,1,LOW,0.1,0,0,0,1,204
12478,0.9896773099899292,1,LOW,0.1,0,0,0,1,205
