sequence_index,anomaly_score,max_severity_score,max_severity_level,avg_severity_score,critical_count,high_count,medium_count,low_count,priority
20569,0.9996105432510376,10,CRITICAL,1.0,1,0,0,0,1
14477,0.7296525239944458,10,CRITICAL,1.0,1,0,0,0,2
45025,0.7779945135116577,10,CRITICAL,1.0,1,0,0,0,3
45019,0.9881581664085388,10,CRITICAL,1.0,1,0,0,0,4
45020,0.9999949336051941,10,CRITICAL,1.0,1,0,0,0,5
45021,0.9524364471435547,10,CRITICAL,1.0,1,0,0,0,6
45018,0.7804102897644043,10,CRITICAL,1.0,1,0,0,0,7
45027,0.964367151260376,10,CRITICAL,1.0,1,0,0,0,8
45026,0.9868674874305725,10,CRITICAL,1.0,1,0,0,0,9
14471,0.7551182508468628,10,CRITICAL,1.0,1,0,0,0,10
14472,0.9944779872894287,10,CRITICAL,1.0,1,0,0,0,11
14474,0.7584208250045776,10,CRITICAL,1.0,1,0,0,0,12
14475,0.7918855547904968,10,CRITICAL,1.0,1,0,0,0,13
14476,0.6955660581588745,10,CRITICAL,1.0,1,0,0,0,14
45024,0.9991538524627686,10,CRITICAL,1.0,1,0,0,0,15
14473,0.7963271737098694,10,CRITICAL,1.0,1,0,0,0,16
14478,0.9624592661857605,10,CRITICAL,1.0,1,0,0,0,17
20564,0.9990910887718201,10,CRITICAL,1.0,1,0,0,0,18
20567,0.9959699511528015,10,CRITICAL,1.0,1,0,0,0,19
20566,0.9999179840087891,10,CRITICAL,1.0,1,0,0,0,20
45022,0.9552759528160095,10,CRITICAL,1.0,1,0,0,0,21
14479,0.7381830215454102,10,CRITICAL,1.0,1,0,0,0,22
20568,0.9957361221313477,10,CRITICAL,1.0,1,0,0,0,23
45023,0.9695249795913696,10,CRITICAL,1.0,1,0,0,0,24
20565,0.9129893183708191,10,CRITICAL,1.0,1,0,0,0,25
20563,0.9999980330467224,10,CRITICAL,1.0,1,0,0,0,26
20562,0.9771890044212341,10,CRITICAL,1.0,1,0,0,0,27
20561,0.9715279340744019,10,CRITICAL,1.0,1,0,0,0,28
20560,0.9999985694885254,10,CRITICAL,1.0,1,0,0,0,29
14480,0.7180050611495972,10,CRITICAL,1.0,1,0,0,0,30
28253,0.9950829744338989,8,HIGH,0.8,0,1,0,0,31
28256,0.9967929720878601,8,HIGH,0.8,0,1,0,0,32
28258,0.9999962449073792,8,HIGH,0.8,0,1,0,0,33
28255,0.9719006419181824,8,HIGH,0.8,0,1,0,0,34
28254,0.9643515944480896,8,HIGH,0.8,0,1,0,0,35
45924,0.7522572875022888,8,HIGH,0.8,0,1,0,0,36
45922,0.9622035622596741,8,HIGH,0.8,0,1,0,0,37
45923,0.6618615388870239,8,HIGH,0.8,0,1,0,0,38
45925,0.9955215454101562,8,HIGH,0.8,0,1,0,0,39
45926,0.7842572927474976,8,HIGH,0.8,0,1,0,0,40
28260,0.9997622966766357,8,HIGH,0.8,0,1,0,0,41
28259,0.977911114692688,8,HIGH,0.8,0,1,0,0,42
28257,0.9092718362808228,8,HIGH,0.8,0,1,0,0,43
28261,0.9030239582061768,8,HIGH,0.8,0,1,0,0,44
28262,0.9998639822006226,8,HIGH,0.8,0,1,0,0,45
45917,0.7108331918716431,8,HIGH,0.8,0,1,0,0,46
45918,0.8028493523597717,8,HIGH,0.8,0,1,0,0,47
45919,0.9871261715888977,8,HIGH,0.8,0,1,0,0,48
7,0.7550536394119263,8,HIGH,1.8,0,1,2,0,49
8,0.7775156497955322,8,HIGH,1.8,0,1,2,0,50
9,0.7392244935035706,8,HIGH,1.3,0,1,1,0,51
10,0.7475725412368774,8,HIGH,1.3,0,1,1,0,52
11,0.7764114141464233,8,HIGH,1.8,0,1,2,0,53
12,0.731534481048584,8,HIGH,1.8,0,1,2,0,54
13,0.7357889413833618,8,HIGH,1.3,0,1,1,0,55
