sequence_index,anomaly_score,max_severity_score,max_severity_level,avg_severity_score,critical_count,high_count,medium_count,low_count,priority
37440,1.151111107721547,1,LOW,0.1,0,0,0,1,99
37441,1.151111107721547,1,LOW,0.1,0,0,0,1,100
37442,1.151111107721547,1,LOW,0.1,0,0,0,1,101
37443,1.151111107721547,1,LOW,0.1,0,0,0,1,102
45039,1.9572323709252866,1,LOW,0.2,0,0,0,2,103
45040,1.9572323709252866,1,LOW,0.2,0,0,0,2,104
45041,1.9572323709252866,1,LOW,0.2,0,0,0,2,105
45042,1.9572323709252866,1,LOW,0.2,0,0,0,2,106
11736,1.3916312203827783,1,LOW,0.1,0,0,0,1,107
11737,1.0943208083187816,1,LOW,0.1,0,0,0,1,108
45514,2.6057230996157785,1,LOW,0.4,0,0,0,4,109
45513,1.948809976893278,1,LOW,0.4,0,0,0,4,110
45512,1.2918968541707783,1,LOW,0.4,0,0,0,4,111
45511,1.2918968541707783,1,LOW,0.3,0,0,0,3,112
45510,1.2918968541707783,1,LOW,0.4,0,0,0,4,113
45509,1.2918968541707783,1,LOW,0.3,0,0,0,3,114
45497,1.3282880192385513,1,LOW,0.2,0,0,0,2,115
45496,1.3282880192385513,1,LOW,0.2,0,0,0,2,116
45495,1.3282880192385513,1,LOW,0.2,0,0,0,2,117
45494,1.3282880192385513,1,LOW,0.2,0,0,0,2,118
45493,1.3282880192385513,1,LOW,0.2,0,0,0,2,119
45492,1.6184496345002237,1,LOW,0.2,0,0,0,2,120
45491,1.6184496345002237,1,LOW,0.1,0,0,0,1,121
45488,1.6184496345002237,1,LOW,0.1,0,0,0,1,122
45487,1.6184496345002237,1,LOW,0.2,0,0,0,2,123
45486,1.6184496345002237,1,LOW,0.2,0,0,0,2,124
45485,1.6184496345002237,1,LOW,0.2,0,0,0,2,125
45484,1.6184496345002237,1,LOW,0.2,0,0,0,2,126
45483,1.6184496345002237,1,LOW,0.2,0,0,0,2,127
45332,1.0796479700358532,1,LOW,0.1,0,0,0,1,128
45331,1.0796479700358532,1,LOW,0.1,0,0,0,1,129
45330,1.0796479700358532,1,LOW,0.1,0,0,0,1,130
45329,1.0796479700358532,1,LOW,0.1,0,0,0,1,131
45327,1.0796479700358532,1,LOW,0.1,0,0,0,1,132
45045,1.6674490328995824,1,LOW,0.1,0,0,0,1,133
45044,1.6674490328995824,1,LOW,0.1,0,0,0,1,134
45043,2.6542984926634943,1,LOW,0.1,0,0,0,1,135
45737,1.9789218371815531,1,LOW,0.1,0,0,0,1,136
45328,1.0796479700358532,1,LOW,0.1,0,0,0,1,137
45739,1.948809976893278,1,LOW,0.2,0,0,0,2,138
37215,2.199426894122706,1,LOW,0.1,0,0,0,1,139
140,1.2918968541707783,1,LOW,0.1,0,0,0,1,140
47770,1.166661263172858,1,LOW,0.2,0,0,0,2,141
47769,1.435889429918577,1,LOW,0.2,0,0,0,2,142
47768,1.7051175966642964,1,LOW,0.2,0,0,0,2,143
47767,1.9301987273769863,1,LOW,0.1,0,0,0,1,144
37211,2.2877209661887647,1,LOW,0.1,0,0,0,1,145
37212,2.243573930155735,1,LOW,0.1,0,0,0,1,146
37213,2.199426894122706,1,LOW,0.1,0,0,0,1,147
37214,2.199426894122706,1,LOW,0.1,0,0,0,1,148
37216,2.199426894122706,1,LOW,0.1,0,0,0,1,149
653,1.3337591867763272,1,LOW,0.1,0,0,0,1,150
37217,1.9301987273769863,1,LOW,0.1,0,0,0,1,151
37218,1.9301987273769863,1,LOW,0.1,0,0,0,1,152
37219,1.7051175966642964,1,LOW,0.1,0,0,0,1,153
37220,1.4358894299185774,1,LOW,0.1,0,0,0,1,154
47493,1.1666612631728577,1,LOW,0.1,0,0,0,1,155
47490,1.166661263172858,1,LOW,0.2,0,0,0,2,156
47292,1.3579827265850533,1,LOW,0.1,0,0,0,1,157
47291,1.3579827265850533,1,LOW,0.1,0,0,0,1,158
47290,1.3579827265850533,1,LOW,0.2,0,0,0,2,159
654,1.3337591867763272,1,LOW,0.1,0,0,0,1,160
652,1.3337591867763272,1,LOW,0.1,0,0,0,1,161
47288,1.3579827265850533,1,LOW,0.2,0,0,0,2,162
498,1.4323583652613285,1,LOW,0.1,0,0,0,1,163
501,1.2918968541707783,1,LOW,0.1,0,0,0,1,164
45740,1.2918968541707783,1,LOW,0.2,0,0,0,2,165
502,1.3880301293377937,1,LOW,0.1,0,0,0,1,166
525,1.2918968541707783,1,LOW,0.2,0,0,0,2,167
526,1.2918968541707783,1,LOW,0.2,0,0,0,2,168
527,1.2918968541707783,1,LOW,0.2,0,0,0,2,169
528,1.2918968541707783,1,LOW,0.2,0,0,0,2,170
529,1.2918968541707783,1,LOW,0.1,0,0,0,1,171
499,1.4323583652613285,1,LOW,0.1,0,0,0,1,172
497,1.4323583652613285,1,LOW,0.1,0,0,0,1,173
142,1.2918968541707783,1,LOW,0.1,0,0,0,1,174
496,1.4323583652613285,1,LOW,0.1,0,0,0,1,175
582,1.4323583652613288,1,LOW,0.1,0,0,0,1,176
583,1.4323583652613288,1,LOW,0.1,0,0,0,1,177
584,1.4323583652613288,1,LOW,0.1,0,0,0,1,178
144,1.2918968541707783,1,LOW,0.1,0,0,0,1,179
585,1.4323583652613288,1,LOW,0.1,0,0,0,1,180
143,1.2918968541707783,1,LOW,0.1,0,0,0,1,181
586,1.4323583652613288,1,LOW,0.1,0,0,0,1,182
602,1.3198984757589705,1,LOW,0.1,0,0,0,1,183
47289,1.3579827265850533,1,LOW,0.2,0,0,0,2,184
141,1.2918968541707783,1,LOW,0.1,0,0,0,1,185
47253,1.2918968541707783,1,LOW,0.1,0,0,0,1,186
36225,1.2918968541707783,1,LOW,0.1,0,0,0,1,187
45742,1.2918968541707783,1,LOW,0.2,0,0,0,2,188
45944,1.0298742045262266,1,LOW,0.1,0,0,0,1,189
47032,1.6823524486551662,1,LOW,0.2,0,0,0,2,190
47033,1.6823524486551662,1,LOW,0.2,0,0,0,2,191
47034,1.6823524486551662,1,LOW,0.2,0,0,0,2,192
