모델,정확도,정밀도,재현율,F1 점수,ROC-AUC,특이도,TP,TN,FP,FN
DEEPLOG,0.0720,0.0720,0.9997,0.1343,0.6402,0.0000,3598,0,46401,1
LOGANOMALY,0.8802,0.0795,0.0628,0.0702,0.5027,0.9436,226,43783,2618,3373
