sequence_index,anomaly_score,max_severity_score,max_severity_level,avg_severity_score,critical_count,high_count,medium_count,low_count,priority
14479,0.7405364513397217,10,CRITICAL,0.6666666666666666,1,0,0,0,1
14469,0.7173268795013428,10,CRITICAL,0.6666666666666666,1,0,0,0,2
20558,0.9999939799308777,10,CRITICAL,0.6666666666666666,1,0,0,0,3
20559,0.9999936819076538,10,CRITICAL,0.6666666666666666,1,0,0,0,4
20560,0.9155446290969849,10,CRITICAL,0.6666666666666666,1,0,0,0,5
20561,0.9998076558113098,10,CRITICAL,0.6666666666666666,1,0,0,0,6
20562,0.9995238780975342,10,CRITICAL,0.6666666666666666,1,0,0,0,7
20563,0.9955863952636719,10,CRITICAL,0.6666666666666666,1,0,0,0,8
20564,0.9998502731323242,10,CRITICAL,0.6666666666666666,1,0,0,0,9
20565,0.999783456325531,10,CRITICAL,0.6666666666666666,1,0,0,0,10
20566,0.5109843015670776,10,CRITICAL,0.6666666666666666,1,0,0,0,11
14466,0.817538321018219,10,CRITICAL,0.6666666666666666,1,0,0,0,12
14467,0.9940780997276306,10,CRITICAL,0.6666666666666666,1,0,0,0,13
14468,0.7896542549133301,10,CRITICAL,0.6666666666666666,1,0,0,0,14
14470,0.7826429605484009,10,CRITICAL,0.6666666666666666,1,0,0,0,15
20555,1.0,10,CRITICAL,0.6666666666666666,1,0,0,0,16
14471,0.7241885662078857,10,CRITICAL,0.6666666666666666,1,0,0,0,17
14472,0.7830991148948669,10,CRITICAL,0.6666666666666666,1,0,0,0,18
14473,0.9707276225090027,10,CRITICAL,0.6666666666666666,1,0,0,0,19
14474,0.7587733864784241,10,CRITICAL,0.6666666666666666,1,0,0,0,20
14475,0.7366377711296082,10,CRITICAL,0.6666666666666666,1,0,0,0,21
14476,0.7449369430541992,10,CRITICAL,0.6666666666666666,1,0,0,0,22
20567,0.9976610541343689,10,CRITICAL,0.6666666666666666,1,0,0,0,23
20568,0.9405407905578613,10,CRITICAL,0.6666666666666666,1,0,0,0,24
20569,0.9999942779541016,10,CRITICAL,0.6666666666666666,1,0,0,0,25
14480,0.749409019947052,10,CRITICAL,0.6666666666666666,1,0,0,0,26
14478,0.960213840007782,10,CRITICAL,0.6666666666666666,1,0,0,0,27
14477,0.7351281642913818,10,CRITICAL,0.6666666666666666,1,0,0,0,28
20556,0.8915444612503052,10,CRITICAL,0.6666666666666666,1,0,0,0,29
20557,0.8963709473609924,10,CRITICAL,0.6666666666666666,1,0,0,0,30
45022,0.9613561630249023,10,CRITICAL,0.6666666666666666,1,0,0,0,31
45016,0.9635165929794312,10,CRITICAL,0.6666666666666666,1,0,0,0,32
45027,0.9720110297203064,10,CRITICAL,0.6666666666666666,1,0,0,0,33
45026,0.9357929229736328,10,CRITICAL,0.6666666666666666,1,0,0,0,34
45025,0.9999995827674866,10,CRITICAL,0.6666666666666666,1,0,0,0,35
45024,0.7479002475738525,10,CRITICAL,0.6666666666666666,1,0,0,0,36
45023,0.7292830944061279,10,CRITICAL,0.6666666666666666,1,0,0,0,37
45021,0.99272620677948,10,CRITICAL,0.6666666666666666,1,0,0,0,38
45020,0.6782200336456299,10,CRITICAL,0.6666666666666666,1,0,0,0,39
45019,0.9991694092750549,10,CRITICAL,0.6666666666666666,1,0,0,0,40
45018,0.9925901889801025,10,CRITICAL,0.6666666666666666,1,0,0,0,41
45017,0.8435938358306885,10,CRITICAL,0.6666666666666666,1,0,0,0,42
45015,0.9999086856842041,10,CRITICAL,0.6666666666666666,1,0,0,0,43
45014,0.9865235090255737,10,CRITICAL,0.6666666666666666,1,0,0,0,44
45013,0.6408339738845825,10,CRITICAL,0.6666666666666666,1,0,0,0,45
28254,0.9820486307144165,8,HIGH,0.5333333333333333,0,1,0,0,46
28248,0.9900919198989868,8,HIGH,0.5333333333333333,0,1,0,0,47
28252,0.8197616338729858,8,HIGH,0.5333333333333333,0,1,0,0,48
28251,0.9971235394477844,8,HIGH,0.5333333333333333,0,1,0,0,49
28250,0.9933871626853943,8,HIGH,0.5333333333333333,0,1,0,0,50
45685,0.9986246228218079,8,HIGH,0.7333333333333333,0,1,0,3,51
45686,0.9557234048843384,8,HIGH,0.8,0,1,0,4,52
45687,0.75356125831604,8,HIGH,0.8,0,1,0,4,53
28253,0.9997825622558594,8,HIGH,0.5333333333333333,0,1,0,0,54
28262,0.9999576210975647,8,HIGH,0.5333333333333333,0,1,0,0,55
28255,0.9999759793281555,8,HIGH,0.5333333333333333,0,1,0,0,56
28261,0.9999922513961792,8,HIGH,0.5333333333333333,0,1,0,0,57
28256,0.9736373424530029,8,HIGH,0.5333333333333333,0,1,0,0,58
28257,0.9999995231628418,8,HIGH,0.5333333333333333,0,1,0,0,59
28258,0.9937182068824768,8,HIGH,0.5333333333333333,0,1,0,0,60
28259,0.9798484444618225,8,HIGH,0.5333333333333333,0,1,0,0,61
28260,0.9752870202064514,8,HIGH,0.5333333333333333,0,1,0,0,62
45689,0.7696834802627563,8,HIGH,0.7333333333333333,0,1,0,3,63
45688,0.7887724041938782,8,HIGH,0.8,0,1,0,4,64
28249,0.9574657082557678,8,HIGH,0.5333333333333333,0,1,0,0,65
45692,0.839946985244751,8,HIGH,0.8,0,1,0,4,66
45923,0.962013304233551,8,HIGH,0.5333333333333333,0,1,0,0,67
