모델,정확도,정밀도,재현율,F1 점수,ROC-AUC,특이도,TP,TN,FP,FN
DEEPLOG,0.0720,0.0720,0.9997,0.1343,0.6321,0.0000,3598,0,46401,1
LOGANOMALY,0.8835,0.0729,0.0528,0.0613,0.5000,0.9480,190,43986,2415,3409
