sequence_index,anomaly_score,max_severity_score,max_severity_level,avg_severity_score,critical_count,high_count,medium_count,low_count,priority
0,2.2246079471714455,5,MEDIUM,0.5,0,0,1,0,1
542,1.281907722194479,5,MEDIUM,0.5,0,0,1,0,2
543,1.281907722194479,5,MEDIUM,0.5,0,0,1,0,3
4454,1.281907722194479,1,LOW,0.1,0,0,0,1,4
45523,1.3516645482916365,1,LOW,0.1,0,0,0,1,5
45524,1.3516645482916365,1,LOW,0.1,0,0,0,1,6
45525,1.3516645482916365,1,LOW,0.1,0,0,0,1,7
45526,1.3516645482916365,1,LOW,0.1,0,0,0,1,8
45527,1.3516645482916365,1,LOW,0.1,0,0,0,1,9
4455,1.281907722194479,1,LOW,0.1,0,0,0,1,10
4453,1.281907722194479,1,LOW,0.1,0,0,0,1,11
45521,1.3516645482916365,1,LOW,0.2,0,0,0,2,12
4452,1.281907722194479,1,LOW,0.1,0,0,0,1,13
4451,1.281907722194479,1,LOW,0.1,0,0,0,1,14
4450,1.281907722194479,1,LOW,0.1,0,0,0,1,15
4447,1.281907722194479,1,LOW,0.1,0,0,0,1,16
45529,1.3371046132086803,1,LOW,0.1,0,0,0,1,17
45522,1.3516645482916365,1,LOW,0.1,0,0,0,1,18
45520,1.3516645482916365,1,LOW,0.2,0,0,0,2,19
45499,1.9404074524230854,1,LOW,0.2,0,0,0,2,20
45519,1.281907722194479,1,LOW,0.3,0,0,0,3,21
45501,1.9404074524230854,1,LOW,0.2,0,0,0,2,22
45502,1.9404074524230854,1,LOW,0.1,0,0,0,1,23
45503,1.9404074524230854,1,LOW,0.1,0,0,0,1,24
45509,1.281907722194479,1,LOW,0.3,0,0,0,3,25
45510,1.281907722194479,1,LOW,0.4,0,0,0,4,26
45511,1.281907722194479,1,LOW,0.3,0,0,0,3,27
45512,1.281907722194479,1,LOW,0.4,0,0,0,4,28
45513,1.9338670091981485,1,LOW,0.4,0,0,0,4,29
45514,2.5858262962018186,1,LOW,0.4,0,0,0,4,30
45515,2.5858262962018186,1,LOW,0.3,0,0,0,3,31
45516,2.5858262962018186,1,LOW,0.3,0,0,0,3,32
8497,1.3516645482916365,1,LOW,0.1,0,0,0,1,33
8496,1.3516645482916365,1,LOW,0.1,0,0,0,1,34
45517,1.9338670091981485,1,LOW,0.3,0,0,0,3,35
45518,1.9338670091981485,1,LOW,0.3,0,0,0,3,36
45533,1.3371046132086803,1,LOW,0.2,0,0,0,2,37
45534,1.3371046132086803,1,LOW,0.2,0,0,0,2,38
45535,1.3371046132086803,1,LOW,0.2,0,0,0,2,39
45536,1.3371046132086803,1,LOW,0.1,0,0,0,1,40
4156,1.9338670091981485,1,LOW,0.2,0,0,0,2,41
4155,1.9338670091981485,1,LOW,0.2,0,0,0,2,42
4154,1.9338670091981485,1,LOW,0.2,0,0,0,2,43
4153,2.070783107204419,1,LOW,0.2,0,0,0,2,44
4152,1.4188238202007495,1,LOW,0.2,0,0,0,2,45
4151,1.4188238202007495,1,LOW,0.1,0,0,0,1,46
45646,1.7381115414562078,1,LOW,0.4,0,0,0,4,47
45647,1.7381115414562078,1,LOW,0.3,0,0,0,3,48
4143,1.418283047863767,1,LOW,0.1,0,0,0,1,49
45648,1.7381115414562078,1,LOW,0.3,0,0,0,3,50
45649,1.3714271597053156,1,LOW,0.3,0,0,0,3,51
45650,1.3714271597053156,1,LOW,0.2,0,0,0,2,52
45651,1.3714271597053156,1,LOW,0.1,0,0,0,1,53
45681,1.3371046132086803,1,LOW,0.1,0,0,0,1,54
45682,1.3371046132086803,1,LOW,0.1,0,0,0,1,55
4157,1.9338670091981485,1,LOW,0.1,0,0,0,1,56
4158,1.9338670091981485,1,LOW,0.1,0,0,0,1,57
4159,1.9338670091981485,1,LOW,0.1,0,0,0,1,58
45548,1.281907722194479,1,LOW,0.3,0,0,0,3,59
45537,1.3371046132086803,1,LOW,0.1,0,0,0,1,60
45538,1.3371046132086803,1,LOW,0.1,0,0,0,1,61
45544,1.281907722194479,1,LOW,0.2,0,0,0,2,62
45545,1.281907722194479,1,LOW,0.3,0,0,0,3,63
45546,1.281907722194479,1,LOW,0.3,0,0,0,3,64
45547,1.281907722194479,1,LOW,0.3,0,0,0,3,65
45549,1.281907722194479,1,LOW,0.3,0,0,0,3,66
4160,1.281907722194479,1,LOW,0.1,0,0,0,1,67
45550,1.281907722194479,1,LOW,0.3,0,0,0,3,68
45551,1.281907722194479,1,LOW,0.2,0,0,0,2,69
45642,1.3566546786197822,1,LOW,0.4,0,0,0,4,70
45643,1.3566546786197822,1,LOW,0.3,0,0,0,3,71
