sequence_index,anomaly_score,max_severity_score,max_severity_level,avg_severity_score,critical_count,high_count,medium_count,low_count,priority
20562,0.9428303241729736,10,CRITICAL,1.0,1,0,0,0,1
45019,0.9959644079208374,10,CRITICAL,1.0,1,0,0,0,2
14477,0.7580519914627075,10,CRITICAL,1.0,1,0,0,0,3
14476,0.7871596217155457,10,CRITICAL,1.0,1,0,0,0,4
14475,0.7653694748878479,10,CRITICAL,1.0,1,0,0,0,5
14474,0.7590717077255249,10,CRITICAL,1.0,1,0,0,0,6
14473,0.8268086910247803,10,CRITICAL,1.0,1,0,0,0,7
14472,0.9954259395599365,10,CRITICAL,1.0,1,0,0,0,8
14471,0.7786246538162231,10,CRITICAL,1.0,1,0,0,0,9
45020,1.0,10,CRITICAL,1.0,1,0,0,0,10
14480,0.7712741494178772,10,CRITICAL,1.0,1,0,0,0,11
45021,0.9265096187591553,10,CRITICAL,1.0,1,0,0,0,12
45022,0.7955083847045898,10,CRITICAL,1.0,1,0,0,0,13
45023,0.9967096447944641,10,CRITICAL,1.0,1,0,0,0,14
45024,0.9988845586776733,10,CRITICAL,1.0,1,0,0,0,15
45025,0.8291693925857544,10,CRITICAL,1.0,1,0,0,0,16
45026,0.9788804650306702,10,CRITICAL,1.0,1,0,0,0,17
45027,0.9601247906684875,10,CRITICAL,1.0,1,0,0,0,18
14479,0.7579208016395569,10,CRITICAL,1.0,1,0,0,0,19
14478,0.9514911770820618,10,CRITICAL,1.0,1,0,0,0,20
20569,0.9999383687973022,10,CRITICAL,1.0,1,0,0,0,21
20566,0.9996702671051025,10,CRITICAL,1.0,1,0,0,0,22
20567,0.9996107220649719,10,CRITICAL,1.0,1,0,0,0,23
45018,0.6288813352584839,10,CRITICAL,1.0,1,0,0,0,24
20563,1.0,10,CRITICAL,1.0,1,0,0,0,25
20561,0.999273955821991,10,CRITICAL,1.0,1,0,0,0,26
20560,0.9997618198394775,10,CRITICAL,1.0,1,0,0,0,27
20564,0.9981143474578857,10,CRITICAL,1.0,1,0,0,0,28
20568,0.9988797307014465,10,CRITICAL,1.0,1,0,0,0,29
20565,0.9580243825912476,10,CRITICAL,1.0,1,0,0,0,30
28259,0.96134352684021,8,HIGH,0.8,0,1,0,0,31
28260,0.9999171495437622,8,HIGH,0.8,0,1,0,0,32
28261,0.9920656681060791,8,HIGH,0.8,0,1,0,0,33
28262,0.999989926815033,8,HIGH,0.8,0,1,0,0,34
45693,0.9026991128921509,8,HIGH,1.0,0,1,0,2,35
45692,0.9382704496383667,8,HIGH,1.1,0,1,0,3,36
45694,0.8740506768226624,8,HIGH,0.9,0,1,0,1,37
45695,0.9998592734336853,8,HIGH,1.0,0,1,0,2,38
45696,0.9633167386054993,8,HIGH,1.0,0,1,0,2,39
45697,0.8634299039840698,8,HIGH,1.0,0,1,0,2,40
45698,0.8105570077896118,8,HIGH,1.0,0,1,0,2,41
45699,0.7750304937362671,8,HIGH,1.0,0,1,0,2,42
28257,0.9761732220649719,8,HIGH,0.8,0,1,0,0,43
28258,0.9999934434890747,8,HIGH,0.8,0,1,0,0,44
28253,0.9973245859146118,8,HIGH,0.8,0,1,0,0,45
28256,0.9989941716194153,8,HIGH,0.8,0,1,0,0,46
45926,0.9104994535446167,8,HIGH,0.8,0,1,0,0,47
7,0.7204197645187378,8,HIGH,1.8,0,1,2,0,48
8,0.778525173664093,8,HIGH,1.8,0,1,2,0,49
9,0.819110631942749,8,HIGH,1.3,0,1,1,0,50
10,0.7412058711051941,8,HIGH,1.3,0,1,1,0,51
11,0.771384060382843,8,HIGH,1.8,0,1,2,0,52
12,0.7826441526412964,8,HIGH,1.8,0,1,2,0,53
13,0.7749552130699158,8,HIGH,1.3,0,1,1,0,54
14,0.7535141110420227,8,HIGH,1.3,0,1,1,0,55
28255,0.9914132952690125,8,HIGH,0.8,0,1,0,0,56
15,0.7765533924102783,8,HIGH,1.3,0,1,1,0,57
16,0.7715176343917847,8,HIGH,1.3,0,1,1,0,58
45691,0.9640368819236755,8,HIGH,1.1,0,1,0,3,59
45925,0.993938684463501,8,HIGH,0.8,0,1,0,0,60
45921,0.7681533098220825,8,HIGH,0.8,0,1,0,0,61
45923,0.8577851057052612,8,HIGH,0.8,0,1,0,0,62
28254,0.9353854060173035,8,HIGH,0.8,0,1,0,0,63
45922,0.9719060063362122,8,HIGH,0.8,0,1,0,0,64
45690,0.9970131516456604,8,HIGH,1.0,0,1,0,2,65
45917,0.8065820932388306,8,HIGH,0.8,0,1,0,0,66
45918,0.7573423981666565,8,HIGH,0.8,0,1,0,0,67
45919,0.9902445673942566,8,HIGH,0.8,0,1,0,0,68
45920,0.9946470260620117,8,HIGH,0.8,0,1,0,0,69
45924,0.6831977963447571,8,HIGH,0.8,0,1,0,0,70
1,0.9999135732650757,5,MEDIUM,0.5,0,0,1,0,71
550,0.9999200105667114,5,MEDIUM,0.5,0,0,1,0,72
551,0.7498533725738525,5,MEDIUM,0.5,0,0,1,0,73
549,0.7700622081756592,5,MEDIUM,0.5,0,0,1,0,74
548,0.8064085245132446,5,MEDIUM,0.5,0,0,1,0,75
547,0.9458375573158264,5,MEDIUM,0.5,0,0,1,0,76
546,0.7424246072769165,5,MEDIUM,0.5,0,0,1,0,77
545,0.7912322878837585,5,MEDIUM,0.5,0,0,1,0,78
544,0.7979651093482971,5,MEDIUM,0.5,0,0,1,0,79
542,0.7976042032241821,5,MEDIUM,0.5,0,0,1,0,80
543,0.799632728099823,5,MEDIUM,0.5,0,0,1,0,81
0,0.7973505258560181,5,MEDIUM,0.5,0,0,1,0,82
45569,0.9594005942344666,5,MEDIUM,0.8,0,0,1,3,83
45567,0.9993023872375488,5,MEDIUM,0.7,0,0,1,2,84
45620,0.9672883152961731,5,MEDIUM,0.7,0,0,1,2,85
45619,0.8689168691635132,5,MEDIUM,0.7,0,0,1,2,86
45618,0.86211097240448,5,MEDIUM,0.7,0,0,1,2,87
