type,time_window,log_count,mean,z_score,exception_type,count,percentage
frequency_anomaly,2025-06-11 15:00:00,32011.0,3007.8280938506364,3.578700476173333,,,
frequency_anomaly,2025-06-11 15:10:00,49582.0,3007.8280938506364,5.746785617699157,,,
frequency_anomaly,2025-06-11 15:20:00,52781.0,3007.8280938506364,6.141510127843207,,,
frequency_anomaly,2025-06-11 15:30:00,65556.0,3007.8280938506364,7.717816979074919,,,
frequency_anomaly,2025-06-11 15:40:00,52632.0,3007.8280938506364,6.123125022494204,,,
frequency_anomaly,2025-06-11 15:50:00,42995.0,3007.8280938506364,4.934015893310642,,,
frequency_anomaly,2025-06-11 16:20:00,35731.0,3007.8280938506364,4.037711160054505,,,
frequency_anomaly,2025-06-11 16:40:00,33763.0,3007.8280938506364,3.794879701485111,,,
frequency_anomaly,2025-06-11 17:40:00,58503.0,3007.8280938506364,6.847547529232472,,,
frequency_anomaly,2025-06-11 17:50:00,36016.0,3007.8280938506364,4.072877301158305,,,
frequency_anomaly,2025-06-11 18:10:00,28043.0,3007.8280938506364,3.089089080033417,,,
frequency_anomaly,2025-06-13 10:20:00,48173.0,3007.8280938506364,5.572929151680724,,,
frequency_anomaly,2025-06-13 10:30:00,36225.0,3007.8280938506364,4.0986658046344235,,,
frequency_anomaly,2025-06-13 10:40:00,68882.0,3007.8280938506364,8.128212015254697,,,
frequency_anomaly,2025-06-13 10:50:00,39193.0,3007.8280938506364,4.464887231989079,,,
frequency_anomaly,2025-06-13 11:00:00,38401.0,3007.8280938506364,4.367162376711152,,,
frequency_anomaly,2025-06-13 11:10:00,67627.0,3007.8280938506364,7.973357604429195,,,
frequency_anomaly,2025-06-13 11:20:00,49229.0,3007.8280938506364,5.703228958717959,,,
frequency_anomaly,2025-06-13 13:10:00,36248.0,3007.8280938506364,4.101503773916485,,,
frequency_anomaly,2025-06-13 13:20:00,38120.0,3007.8280938506364,4.332489795482494,,,
frequency_anomaly,2025-06-13 14:10:00,36041.0,3007.8280938506364,4.075962050377936,,,
frequency_anomaly,2025-06-13 15:30:00,37318.0,3007.8280938506364,4.233531040516715,,,
frequency_anomaly,2025-06-13 16:40:00,30604.0,3007.8280938506364,3.405090790092471,,,
frequency_anomaly,2025-06-13 16:50:00,40429.0,3007.8280938506364,4.617397233407662,,,
frequency_anomaly,2025-06-13 17:50:00,83615.0,3007.8280938506364,9.94611642536795,,,
frequency_anomaly,2025-06-13 18:20:00,32177.0,3007.8280938506364,3.599183210991687,,,
frequency_anomaly,2025-06-16 09:40:00,42677.0,3007.8280938506364,4.894777883236928,,,
frequency_anomaly,2025-06-16 16:50:00,32360.0,3007.8280938506364,3.6217635752793895,,,
frequency_anomaly,2025-06-16 17:40:00,42367.0,3007.8280938506364,4.856526992913498,,,
frequency_anomaly,2025-06-17 09:10:00,34029.0,3007.8280938506364,3.82770143318199,,,
frequency_anomaly,2025-06-17 10:40:00,120249.0,3007.8280938506364,14.466384541847207,,,
frequency_anomaly,2025-06-17 11:00:00,48562.0,3007.8280938506364,5.620927849538191,,,
frequency_anomaly,2025-06-17 13:20:00,75844.0,3007.8280938506364,8.987252977937686,,,
frequency_anomaly,2025-06-17 13:30:00,66581.0,3007.8280938506364,7.844291697079811,,,
frequency_anomaly,2025-06-17 13:40:00,35047.0,3007.8280938506364,3.953312421405386,,,
frequency_anomaly,2025-06-17 13:50:00,29976.0,3007.8280938506364,3.3276018896953268,,,
frequency_anomaly,2025-06-17 15:10:00,39423.0,3007.8280938506364,4.493266924809689,,,
frequency_anomaly,2025-06-17 15:40:00,52572.0,3007.8280938506364,6.1157216243670875,,,
frequency_anomaly,2025-06-17 15:50:00,36034.0,3007.8280938506364,4.075098320596439,,,
frequency_anomaly,2025-06-17 16:00:00,39950.0,3007.8280938506364,4.558293438359522,,,
frequency_anomaly,2025-06-17 16:20:00,35101.0,3007.8280938506364,3.95997547971979,,,
frequency_anomaly,2025-06-17 16:30:00,29208.0,3007.8280938506364,3.232838393668246,,,
frequency_anomaly,2025-06-17 16:40:00,38869.0,3007.8280938506364,4.424908882102654,,,
frequency_anomaly,2025-06-17 16:50:00,29390.0,3007.8280938506364,3.2552953679871637,,,
frequency_anomaly,2025-06-17 17:00:00,44271.0,3007.8280938506364,5.091461493480635,,,
frequency_anomaly,2025-06-17 17:10:00,40781.0,3007.8280938506364,4.660830502420073,,,
frequency_anomaly,2025-06-18 10:00:00,59497.0,3007.8280938506364,6.970197158205021,,,
frequency_anomaly,2025-06-19 14:10:00,32266.0,3007.8280938506364,3.6101649182135747,,,
frequency_anomaly,2025-06-19 14:20:00,60868.0,3007.8280938506364,7.139364805409614,,,
frequency_anomaly,2025-06-19 16:00:00,54288.0,3007.8280938506364,6.327458810802596,,,
frequency_anomaly,2025-06-19 16:10:00,44228.0,3007.8280938506364,5.086155724822869,,,
frequency_anomaly,2025-06-20 09:10:00,34610.0,3007.8280938506364,3.899391005046227,,,
frequency_anomaly,2025-06-23 14:00:00,30577.0,3007.8280938506364,3.4017592609352687,,,
frequency_anomaly,2025-06-23 14:20:00,30549.0,3007.8280938506364,3.3983043418092813,,,
frequency_anomaly,2025-06-23 16:50:00,33663.0,3007.8280938506364,3.7825407046065846,,,
frequency_anomaly,2025-06-24 10:20:00,30496.0,3007.8280938506364,3.3917646734636624,,,
frequency_anomaly,2025-06-24 13:10:00,60253.0,3007.8280938506364,7.063479974606679,,,
frequency_anomaly,2025-06-24 14:40:00,58815.0,3007.8280938506364,6.8860451994934735,,,
frequency_anomaly,2025-06-24 18:00:00,67828.0,3007.8280938506364,7.998158988155032,,,
frequency_anomaly,2025-06-25 09:00:00,32243.0,3007.8280938506364,3.607326948931514,,,
frequency_anomaly,2025-06-25 09:10:00,31620.0,3007.8280938506364,3.5304549983782962,,,
frequency_anomaly,2025-06-25 15:40:00,49584.0,3007.8280938506364,5.747032397636728,,,
frequency_anomaly,2025-06-25 15:50:00,67478.0,3007.8280938506364,7.95497249908019,,,
frequency_anomaly,2025-06-26 09:00:00,41078.0,3007.8280938506364,4.697477323149296,,,
frequency_anomaly,2025-06-26 09:30:00,48402.0,3007.8280938506364,5.601185454532549,,,
frequency_anomaly,2025-06-26 09:40:00,42748.0,3007.8280938506364,4.9035385710206825,,,
frequency_anomaly,2025-06-26 10:40:00,34970.0,3007.8280938506364,3.943811393808921,,,
frequency_anomaly,2025-06-26 11:30:00,67555.0,3007.8280938506364,7.964473526676656,,,
frequency_anomaly,2025-06-26 13:50:00,27533.0,3007.8280938506364,3.026160195952934,,,
frequency_anomaly,2025-06-26 16:20:00,81297.0,3007.8280938506364,9.660098477723714,,,
frequency_anomaly,2025-06-27 09:20:00,41109.0,3007.8280938506364,4.701302412181639,,,
frequency_anomaly,2025-06-27 10:00:00,30566.0,3007.8280938506364,3.400401971278631,,,
frequency_anomaly,2025-06-27 10:10:00,79705.0,3007.8280938506364,9.46366164741758,,,
frequency_anomaly,2025-06-27 10:30:00,43799.0,3007.8280938506364,5.0332214282139915,,,
frequency_anomaly,2025-06-27 11:10:00,29565.0,3007.8280938506364,3.2768886125245844,,,
frequency_anomaly,2025-06-27 13:50:00,43518.0,3007.8280938506364,4.998548846985333,,,
frequency_anomaly,2025-06-27 17:00:00,29382.0,3007.8280938506364,3.2543082482368817,,,
frequency_anomaly,2025-06-27 17:10:00,29505.0,3007.8280938506364,3.2694852143974686,,,
